pollutant,cgm_metric,n,t_cgm_observed,t_hba1c_observed,diff_observed,boot_diff_mean,boot_ci_lo,boot_ci_hi,boot_p_value,verdict
PM2.5,glucose_cv,1888,2.7627527190558165,4.09495187855654,-1.3321991595007239,-1.3054268171684884,-4.3158610967207265,1.6506492215769988,0.384,no significant difference
PM2.5,intraday_glucose_variance,1888,1.0472143480312213,4.09495187855654,-3.0477375305253194,-2.9172493849937,-5.083355990731101,-0.6621579063839103,0.012,HbA1c significantly stronger
PM2.5,glucose_overall_variance,1888,2.2519888959700394,4.09495187855654,-1.842962982586501,-1.8295645231901674,-3.687359975366208,0.04853125807154255,0.056,no significant difference
NOx,glucose_cv,1888,1.8639228284327274,0.03130970914138741,1.83261311929134,1.2207694696431546,-0.888547192351609,3.2163146477256186,0.276,no significant difference
NOx,intraday_glucose_variance,1888,0.8847388594422829,0.03130970914138741,0.8534291503008955,0.41435305481479984,-1.2168090136597454,2.127517297621012,0.66,no significant difference
NOx,glucose_overall_variance,1888,0.5724435235629063,0.03130970914138741,0.5411338144215189,0.21439707673888964,-1.1131662259680128,1.5223822333235348,0.74,no significant difference
VOC,glucose_cv,1888,1.2990881671349979,1.0738002857293176,0.22528788140568023,0.06411398252391441,-3.1782141672902777,2.6109784750457736,0.914,no significant difference
VOC,intraday_glucose_variance,1888,0.31593584333393626,1.0738002857293176,-0.7578644423953813,-0.16536940198187494,-1.8970279061795798,1.8597997795247567,0.804,no significant difference
VOC,glucose_overall_variance,1888,0.3216324912583072,1.0738002857293176,-0.7521677944710105,-0.112453812601048,-1.8137157903914407,1.8414278804403976,0.878,no significant difference
