,outcome,n,predictor,coefficient,p_value
0,glucose_mean,2116,bmi,0.7675738557935843,1.2487666459836632e-11
1,glucose_mean,2116,age,0.2932247800610881,0.00010061268394519318
2,glucose_mean,2116,active_calories,0.022534055317140308,0.0024193899630927957
3,glucose_mean,2116,steps,-0.000131716941269309,0.652425215025717
