,clinical_site,n,mean,median,sd,Healthy,Pre-DM,Oral Med,Insulin
0,UAB,800,60.505,61.0,11.027555655251172,29.75,18.5,34.625,17.125
1,UCSD,682,63.24633431085044,64.0,10.95100662105347,29.472140762463344,29.472140762463344,32.111436950146626,8.944281524926687
2,UW,798,59.15162907268171,59.0,11.314077399661342,42.230576441102755,26.44110275689223,23.809523809523807,7.518796992481203
