,outcome,n,r2,coef,p_value
0,glucose_mean,1944,0.061193229366875435,0.3943929068145291,0.9338897610962773
1,glucose_cv,1944,0.046040816588648226,1.3681882054006247,0.05098158801792456
2,tar_180,1944,0.06070459025337882,1.6048297348740248,0.5556706906489398
3,spikes_per_day_180,1944,0.0481133141343838,0.22363125485960378,0.2562650819307892
