predictor,pair,n,coefficient,odds_ratio,p_value,direction
mean_nox,Healthy vs Oral Med,1242,0.12297704176090908,1.1308584581306005,0.28034306054086644,higher -> more Oral Med-like
log_pm25,Healthy vs Oral Med,1242,0.0739801908530588,1.076785475083252,0.3437963514640713,higher -> more Oral Med-like
mean_voc,Healthy vs Oral Med,1242,-0.002579508658907814,0.9974238154147796,0.5753605145603309,higher -> more Healthy-like
active_calories,Healthy vs Oral Med,1242,-0.00028096675150046164,0.9997190727159608,0.718143252941728,higher -> more Healthy-like
mean_light,Healthy vs Oral Med,1242,0.6723760788831272,1.9588862636065014,0.9010505973570252,higher -> more Oral Med-like
mean_glucose,Healthy vs Insulin,882,0.0802799201697536,1.0835903440194365,1.5379445902468386e-32,higher -> more Insulin-like
bmi,Healthy vs Insulin,882,0.07694571925946218,1.0799834524999703,1.9446744943852552e-05,higher -> more Insulin-like
mean_temp,Healthy vs Insulin,882,0.23681278394129618,1.2672038546550006,2.634549454804065e-05,higher -> more Insulin-like
heart_rate,Healthy vs Insulin,882,0.0966267373199131,1.1014491670136857,0.004117795305737979,higher -> more Insulin-like
mean_nox,Healthy vs Insulin,882,0.45161095283977865,1.5708406985698802,0.005166150828461447,higher -> more Insulin-like
steps,Healthy vs Insulin,882,-0.00016795718483999996,0.9998320569191783,0.007649429575419918,higher -> more Healthy-like
mean_voc,Healthy vs Insulin,882,0.018599998932421192,1.018774056394001,0.022822707757828027,higher -> more Insulin-like
age,Healthy vs Insulin,882,0.019696310265565335,1.0198915623932576,0.11900438436758738,higher -> more Insulin-like
mean_light,Healthy vs Insulin,882,12.572574720193238,288535.87872416794,0.14122377022611332,higher -> more Insulin-like
mean_hum,Healthy vs Insulin,882,0.029374220433244703,1.0298098982826505,0.15616318482921449,higher -> more Insulin-like
sleep_hours,Healthy vs Insulin,882,0.06768061493514288,1.070023504371774,0.23994394997707047,higher -> more Insulin-like
active_calories,Healthy vs Insulin,882,-0.001630967118578581,0.9983703621855103,0.2867445687488669,higher -> more Healthy-like
log_pm25,Healthy vs Insulin,882,0.12880175358514853,1.137464603532471,0.33434880086109353,higher -> more Insulin-like
stress,Healthy vs Insulin,882,-0.006028411291779339,0.9939897231207072,0.7168248877576118,higher -> more Healthy-like
mean_glucose,Pre-DM vs Insulin,703,0.046539758352448495,1.04763973067018,1.9544814848929382e-26,higher -> more Insulin-like
mean_temp,Pre-DM vs Insulin,703,0.17128694345799808,1.1868312536305674,0.0005077812766809232,higher -> more Insulin-like
heart_rate,Pre-DM vs Insulin,703,0.094502401319664,1.0991118024486053,0.0013566419907741366,higher -> more Insulin-like
age,Pre-DM vs Insulin,703,0.03251744407707316,1.0330519136239986,0.005472127320280633,higher -> more Insulin-like
mean_voc,Pre-DM vs Insulin,703,0.018874085813094146,1.0190533272677218,0.006099206571307521,higher -> more Insulin-like
steps,Pre-DM vs Insulin,703,-0.00014492662777428967,0.9998550838735821,0.009522667777861617,higher -> more Pre-DM-like
log_pm25,Pre-DM vs Insulin,703,0.22921067243022436,1.257606954217006,0.0710362645871022,higher -> more Insulin-like
bmi,Pre-DM vs Insulin,703,0.0251175736040648,1.0254356776054774,0.10567542522027788,higher -> more Insulin-like
mean_light,Pre-DM vs Insulin,703,6.954662962727819,1048.0252548477722,0.2507824333262769,higher -> more Insulin-like
mean_nox,Pre-DM vs Insulin,703,0.1639049382830285,1.1781023173404026,0.3672464067501434,higher -> more Insulin-like
sleep_hours,Pre-DM vs Insulin,703,-0.04688151712484645,0.9542004473054808,0.4032129446161251,higher -> more Pre-DM-like
active_calories,Pre-DM vs Insulin,703,-0.0009011173454839614,0.9990992885388256,0.47812453957607004,higher -> more Pre-DM-like
mean_hum,Pre-DM vs Insulin,703,0.01228699213395284,1.0123627873353678,0.48184069075363245,higher -> more Insulin-like
stress,Pre-DM vs Insulin,703,0.0009857055181664138,1.0009861914855112,0.9450185599589069,higher -> more Insulin-like
