,block,predictor,outcome,stratum,n,coef,p
57,B_glycemia_vs_activityBMI,steps,tir,Healthy,677,-7.28699060899698e-05,0.32457857651433347
58,B_glycemia_vs_activityBMI,steps,tir,Pre-DM,490,0.00019183068395428618,0.3403639117694423
59,B_glycemia_vs_activityBMI,steps,tir,T2DM (Oral Med+Insulin),807,-0.0003428506574472219,0.16639593009767248
60,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,all,2054,0.00024066299334017844,0.16239236652684336
61,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,Healthy,703,0.00020074146619801676,0.1359693235022788
62,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,Pre-DM,516,0.0005358836223177326,0.0024462098099958546
63,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,T2DM (Oral Med+Insulin),835,0.00017071146254776158,0.6008398086598424
64,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,all,2095,0.014950016249710646,0.008413453202954488
65,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,Healthy,707,0.006412297102557633,0.11953786336984384
66,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,Pre-DM,523,0.01319500576922051,0.0968254961812577
67,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,T2DM (Oral Med+Insulin),865,0.02544818583921654,0.016090325096348636
68,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,all,2095,-0.006020850544882651,0.06277214293242828
69,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,Healthy,707,-0.001668142922654069,0.2946474383176649
70,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,Pre-DM,523,-0.007005499048548646,0.09909708723792479
71,B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,T2DM (Oral Med+Insulin),865,-0.011232273575882572,0.07141654320517943
72,C_pollutants_vs_activityBMI,PM2.5,bmi,all,2225,1.0836737358809636,1.1069952320889513e-11
73,C_pollutants_vs_activityBMI,PM2.5,bmi,Healthy,752,1.2497498600852057,5.491833238557248e-07
74,C_pollutants_vs_activityBMI,PM2.5,bmi,Pre-DM,550,1.004167983492488,0.004514743632497422
75,C_pollutants_vs_activityBMI,PM2.5,bmi,T2DM (Oral Med+Insulin),923,0.5776237366601812,0.01733060340496232
76,C_pollutants_vs_activityBMI,PM2.5,steps,all,1965,370.7456544554032,3.839196215476595e-06
77,C_pollutants_vs_activityBMI,PM2.5,steps,Healthy,676,433.15932175233246,0.0008692899503810485
78,C_pollutants_vs_activityBMI,PM2.5,steps,Pre-DM,489,47.25732878761594,0.7561198180593961
79,C_pollutants_vs_activityBMI,PM2.5,steps,T2DM (Oral Med+Insulin),800,408.5113316500317,0.0023416704277568375
80,C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,all,2085,6.710200768932417,0.04228995874772347
81,C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,Healthy,706,4.163992718922067,0.4689825613501095
82,C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,Pre-DM,522,-1.4336617979947448,0.8336987353258885
83,C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,11.462365910434048,0.024025646817189994
84,C_pollutants_vs_activityBMI,NOx,bmi,all,2225,-2.187217586039387,0.011340846136152338
85,C_pollutants_vs_activityBMI,NOx,bmi,Healthy,752,-1.7192275491138007,0.23691760654159164
86,C_pollutants_vs_activityBMI,NOx,bmi,Pre-DM,550,-3.2957340141755607,0.0657078658908024
87,C_pollutants_vs_activityBMI,NOx,bmi,T2DM (Oral Med+Insulin),923,-1.722447901560121,0.17499869749782723
88,C_pollutants_vs_activityBMI,NOx,steps,all,1965,-180.46872536533678,0.6809367488964421
89,C_pollutants_vs_activityBMI,NOx,steps,Healthy,676,-1059.2343667871005,0.18023808248093393
90,C_pollutants_vs_activityBMI,NOx,steps,Pre-DM,489,1637.2769623249117,0.030874414472877237
91,C_pollutants_vs_activityBMI,NOx,steps,T2DM (Oral Med+Insulin),800,-458.4204354402592,0.5167901068724303
92,C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,all,2085,-10.17521755848041,0.5713430956395612
93,C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,Healthy,706,-16.740878718196168,0.6278938384326479
94,C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,Pre-DM,522,29.074013808711275,0.39807231072594385
95,C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,-18.483447606325186,0.4865596343761626
