,pollutant,site,n,mean,median,sd,iqr,max
5,mean_nox,UAB,780,1.284920232586759,1.086974626307915,0.8186265977795065,0.1892651828276124,11.300322206211977
4,mean_nox,UCSD,662,1.3489214234660052,1.2524436349835955,0.4008874312024221,0.28991264928438687,5.517245505399504
3,mean_nox,UW,788,1.2776247093580833,1.1200136681065933,0.5393978819072953,0.24225344895049727,7.028693211352532
2,mean_pm25,UAB,780,19.005079585830337,5.238022709890772,55.561083028706506,7.4573054219848185,1003.0906418548796
1,mean_pm25,UCSD,662,12.308754785338108,5.527193254660888,40.830437410191536,5.358166467448897,832.6599628564262
0,mean_pm25,UW,788,10.375244800941692,3.114155691015135,34.85347936536968,5.308211988315366,499.4081664362791
8,mean_voc,UAB,780,126.82625414886832,126.23586402261697,18.70456792743127,22.128321318108092,242.77200672511108
7,mean_voc,UCSD,662,127.87150855669034,126.67029724892298,16.673959643189516,19.548390439948236,236.496736637855
6,mean_voc,UW,788,125.21206106429544,124.21044135132146,13.98157902194157,17.921236185839334,187.86492279601475
