env_outcome,glycemic_predictor,n,r2,coef,p_value
log_pm25,glucose_mean,2139,0.12302897793233758,-0.0007668015448719731,0.5102249018491846
log_pm25,glucose_cv,2139,0.12302897793233758,0.018910126998813507,0.007637057559400649
log_pm25,intraday_glucose_variance,2139,0.12302897793233758,-0.00019826989796252687,0.003331116860041056
log_pm25,interday_glucose_variance,2139,0.12302897793233758,0.000108595103212547,0.09856702386098094
log_pm25,hba1c,2139,0.12302897793233758,0.137538660215735,1.1543093047614995e-05
log_nox,glucose_mean,2139,0.017594159729901193,7.910740175959151e-05,0.7231841572297204
log_nox,glucose_cv,2139,0.017594159729901193,0.001962740594950755,0.14859375146608753
log_nox,intraday_glucose_variance,2139,0.017594159729901193,-4.7547900447210864e-06,0.7133235703881609
log_nox,interday_glucose_variance,2139,0.017594159729901193,-1.0729464471557097e-05,0.3946956381690056
log_nox,hba1c,2139,0.017594159729901193,-0.0034463186796790096,0.5657746355850312
log_voc,glucose_mean,2139,0.019396201369771715,7.327599912513165e-05,0.672334034249416
log_voc,glucose_cv,2139,0.019396201369771715,0.0017121683596398069,0.10431253060691709
log_voc,intraday_glucose_variance,2139,0.019396201369771715,-9.177934598216553e-06,0.36065751572933996
log_voc,interday_glucose_variance,2139,0.019396201369771715,1.727943092164238e-06,0.8597328887206501
log_voc,hba1c,2139,0.019396201369771715,-0.004687784368325104,0.3139759200091908
mean_temp,glucose_mean,2139,0.0796559800938571,0.0017690925592472374,0.5531302822034133
mean_temp,glucose_cv,2139,0.0796559800938571,0.022204863378253753,0.22107097448986288
mean_temp,intraday_glucose_variance,2139,0.0796559800938571,-0.00018755033312301244,0.2779546982402562
mean_temp,interday_glucose_variance,2139,0.0796559800938571,-0.00010119405286747024,0.5477936630242379
mean_temp,hba1c,2139,0.0796559800938571,0.11110049973090963,0.16577028960618476
mean_hum,glucose_mean,2139,0.08498913750945725,0.008243652945905774,0.3338373712256156
mean_hum,glucose_cv,2139,0.08498913750945725,0.02271132076282709,0.6615546550523291
mean_hum,intraday_glucose_variance,2139,0.08498913750945725,-0.00038122058701139347,0.44055241261820505
mean_hum,interday_glucose_variance,2139,0.08498913750945725,-0.0008642930853170106,0.07269745677906461
mean_hum,hba1c,2139,0.08498913750945725,0.23327908927260899,0.3087787427125416
mean_light,glucose_mean,2140,0.012221396879932511,-1.1301647664362949e-05,0.5352813200210833
mean_light,glucose_cv,2140,0.012221396879932511,-0.00011551212613176032,0.29739993775554285
mean_light,intraday_glucose_variance,2140,0.012221396879932511,-4.7508996870248915e-07,0.652886743830053
mean_light,interday_glucose_variance,2140,0.012221396879932511,1.7821607798338542e-06,0.08338586435802195
mean_light,hba1c,2140,0.012221396879932511,0.00035635823488239986,0.4669686450809441
