,glycemic_predictor,n,r2,coef,p_value
0,glucose_mean,2203,0.1035167903803057,0.0011924227289809087,0.024705333722647896
1,glucose_cv,2203,0.10579729752133493,0.011823342128572292,0.0011072269139063894
2,intraday_glucose_variance,2203,0.10326233916047589,5.746077330955847e-05,0.03549770835163579
3,interday_glucose_variance,2201,0.10841632415552405,0.0002222835004239783,1.0795157445408235e-05
4,hba1c,2161,0.1151313809437472,0.08653000185917575,1.98812189649702e-06
