,predictor,pair,n,coefficient,odds_ratio,p_value,direction
0,mean_glucose,Healthy vs Pre-DM,1151,0.02642947078532828,1.026781826591957,7.738174509946417e-11,higher -> more Pre-DM-like
1,bmi,Healthy vs Pre-DM,1151,0.03532301828511018,1.0359542869365048,0.00034655721422321533,higher -> more Pre-DM-like
2,mean_temp,Healthy vs Pre-DM,1151,0.05268594014201755,1.0540985430904068,0.06511411366927994,higher -> more Pre-DM-like
3,log_pm25,Healthy vs Pre-DM,1151,0.11790861003792857,1.12514128004963,0.10266809415328704,higher -> more Pre-DM-like
4,mean_hum,Healthy vs Pre-DM,1151,0.013549137513057467,1.0136413430412392,0.16734805592343127,higher -> more Pre-DM-like
5,mean_nox,Healthy vs Pre-DM,1151,0.1418947296415378,1.152455322766174,0.1947307795456401,higher -> more Pre-DM-like
6,mean_voc,Healthy vs Pre-DM,1151,-0.003473473037065829,0.9965325524918808,0.3955327590027877,higher -> more Healthy-like
7,sleep_hours,Healthy vs Pre-DM,1151,0.02430866986921433,1.0246065342498027,0.47297462151911807,higher -> more Pre-DM-like
8,heart_rate,Healthy vs Pre-DM,1151,-0.007180099177520074,0.992845616151567,0.539650337197697,higher -> more Healthy-like
9,active_calories,Healthy vs Pre-DM,1151,0.0003433966084864467,1.0003434555758512,0.6311134209071019,higher -> more Pre-DM-like
10,steps,Healthy vs Pre-DM,1151,-1.1060368294637679e-05,0.9999889396928711,0.7187062194171847,higher -> more Healthy-like
11,age,Healthy vs Pre-DM,1151,0.002099400779010947,1.0021016060638153,0.725884635005026,higher -> more Pre-DM-like
12,mean_light,Healthy vs Pre-DM,1151,-1.5128815379230725,0.2202743337365965,0.7317074346348855,higher -> more Healthy-like
13,stress,Healthy vs Pre-DM,1151,-0.0023433878355886353,0.9976593557541686,0.7747832375666658,higher -> more Healthy-like
