outcome,n,r2,steps_coef,steps_p,steps_p_with_severity,active_calories_coef,active_calories_p,bmi_coef,bmi_p
glucose_mean,2116,0.0368708626408768,-0.000131716941269309,0.652425215025717,0.556,0.022534055317140308,0.0024193899630927957,0.7675738557935843,1.2487666459836632e-11
glucose_cv,2116,0.03230922233549549,8.768923650256006e-06,0.8409725626472286,0.8034,-0.000822448333438015,0.45834647269557155,0.041175108906312735,0.014552911071812233
tar_180,2116,0.03854991735614133,-0.0001065243969461349,0.5268321376541035,0.4345,0.01221459039510217,0.004276736346358858,0.4181653114950023,1.4002376510971196e-10
spikes_per_day_180,2116,0.030909002239175587,-8.911547565566104e-06,0.46367803461259743,0.2386,0.00044805867086987087,0.14659348800423455,0.016401791854108,0.00047355277478858656
