,outcome,severity_group,n,pct_in_model,pct_in_cohort
0,glucose_cv,Healthy,664,34.15637860082305,34.03508771929825
1,glucose_cv,Pre-DM,486,25.0,24.561403508771928
2,glucose_cv,Oral Med,577,29.68106995884774,30.087719298245613
3,glucose_cv,Insulin,217,11.162551440329219,11.31578947368421
4,tar_180,Healthy,664,34.15637860082305,34.03508771929825
5,tar_180,Pre-DM,486,25.0,24.561403508771928
6,tar_180,Oral Med,577,29.68106995884774,30.087719298245613
7,tar_180,Insulin,217,11.162551440329219,11.31578947368421
