,outcome,n,r2,coef,p_value
0,glucose_mean,1944,0.061478978916117755,-4.750133836498463,0.4405415603990803
1,glucose_cv,1944,0.045363274405477716,1.4181569774945038,0.11846248925146736
2,tar_180,1944,0.060558410087021786,-0.7623127913710048,0.8289359615509851
3,spikes_per_day_180,1944,0.04896000713782467,0.4424627889572094,0.08287309245958392
