,predictor,stratum,hba1c_p,hba1c_q,hba1c_sig_raw,hba1c_sig_fdr,cgm_min_p,cgm_min_q,cgm_sig_raw,cgm_sig_fdr,asymmetry
0,PM2.5,all,4.367559479911981e-09,9.43392847660988e-08,True,True,2.7572646965654823e-05,0.00033087176358785787,True,True,both
1,PM2.5,Healthy,0.0549619884266963,0.15220242948931284,False,False,0.8674356633558093,0.927554966756707,False,False,neither
2,PM2.5,Pre-DM,0.6639509768865233,0.800304963400058,False,False,0.027778262619919,0.09375163634222664,True,False,CGM-only
3,PM2.5,T2DM (Oral Med+Insulin),5.841043855861776e-05,0.0006308327364330719,True,True,0.0028256068841839,0.016953641305103403,True,True,both
4,BMI,all,1.1707775112563388e-17,1.264439712156846e-15,True,True,2.2121068330101416e-11,7.96358459883651e-10,True,True,both
5,BMI,Healthy,0.0326188637243427,0.10065249377797177,True,False,0.2241337934618074,0.4102788083707661,False,False,HbA1c-only
6,BMI,Pre-DM,0.0094123519689347,0.04419713098456293,True,True,0.0183949027018569,0.06850515488967397,True,False,both
7,BMI,T2DM (Oral Med+Insulin),0.0026295155134736,0.016705157379714633,True,True,0.1374484841684305,0.3001366799555181,False,False,HbA1c-only
