,outcome,n,r2,log_pm25_coef,log_pm25_p
0,active_minutes_v1_per_day,2085,0.016308954097150608,6.710200768932417,0.04228995874772347
1,active_minutes_v2_per_day,2085,0.006062175816707205,-4.464681557835286,0.05371413519082667
2,active_calories,2153,0.06904427533514945,12.295900212790666,0.00020662503752175512
3,bmi,2225,0.10079606534735341,1.0836737358809636,1.1069952320889513e-11
