,site,outcome,n,r2,log_pm25_coef,log_pm25_p,age_coef,age_p
0,UW,steps,760,0.08654102626267457,490.9383930759683,0.0002000819905025733,-74.8585129003246,2.2915915161600816e-11
1,UW,active_calories,761,0.08021178199019952,21.472193734182103,0.00010811268315075803,-2.9158336555340267,5.068576864737916e-10
2,UW,bmi,785,0.0670897495614079,1.6735050780922844,4.2484565813559563e-10,-0.06165582772310303,0.005847236986667929
3,UAB,steps,746,0.10741312735947217,417.584133410437,0.0017087935707020647,-102.71422488211736,5.0920793403871136e-15
4,UAB,active_calories,749,0.08216038086764521,6.959347496909735,0.16264627887601132,-3.6335080872973613,1.506272227556209e-13
5,UAB,bmi,779,0.0748624955519479,0.41329074151453504,0.11113519894154586,-0.17921359491395564,1.6060209004661162e-12
6,UCSD,steps,604,0.03409247466774734,240.38043409294522,0.20948992590527407,-60.035832011950305,4.640423760508121e-05
7,UCSD,active_calories,643,0.026344980064496704,7.022592122392622,0.3330749555526947,-2.0577514737509444,0.00017060171329472593
8,UCSD,bmi,661,0.058074885723641945,1.3545018710078836,1.4300010302638095e-05,-0.08440704812298618,0.00025899124481869426
