block,predictor,outcome,stratum,n,coef,p
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,T2DM (Oral Med+Insulin),865,0.02544818583921654,0.016090325096348636
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,all,2095,-0.006020850544882651,0.06277214293242828
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,Healthy,707,-0.001668142922654069,0.2946474383176649
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,Pre-DM,523,-0.007005499048548646,0.09909708723792479
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,T2DM (Oral Med+Insulin),865,-0.011232273575882572,0.07141654320517943
C_pollutants_vs_activityBMI,PM2.5,bmi,all,2225,1.0836737358809636,1.1069952320889513e-11
C_pollutants_vs_activityBMI,PM2.5,bmi,Healthy,752,1.2497498600852057,5.491833238557248e-07
C_pollutants_vs_activityBMI,PM2.5,bmi,Pre-DM,550,1.004167983492488,0.004514743632497422
C_pollutants_vs_activityBMI,PM2.5,bmi,T2DM (Oral Med+Insulin),923,0.5776237366601812,0.01733060340496232
C_pollutants_vs_activityBMI,PM2.5,steps,all,1965,370.7456544554032,3.839196215476595e-06
C_pollutants_vs_activityBMI,PM2.5,steps,Healthy,676,433.15932175233246,0.0008692899503810485
C_pollutants_vs_activityBMI,PM2.5,steps,Pre-DM,489,47.25732878761594,0.7561198180593961
C_pollutants_vs_activityBMI,PM2.5,steps,T2DM (Oral Med+Insulin),800,408.5113316500317,0.0023416704277568375
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,all,2085,6.710200768932417,0.04228995874772347
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,Healthy,706,4.163992718922067,0.4689825613501095
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,Pre-DM,522,-1.4336617979947448,0.8336987353258885
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,11.462365910434048,0.024025646817189994
C_pollutants_vs_activityBMI,NOx,bmi,all,2225,-2.187217586039387,0.011340846136152338
C_pollutants_vs_activityBMI,NOx,bmi,Healthy,752,-1.7192275491138007,0.23691760654159164
C_pollutants_vs_activityBMI,NOx,bmi,Pre-DM,550,-3.2957340141755607,0.0657078658908024
C_pollutants_vs_activityBMI,NOx,bmi,T2DM (Oral Med+Insulin),923,-1.722447901560121,0.17499869749782723
C_pollutants_vs_activityBMI,NOx,steps,all,1965,-180.46872536533678,0.6809367488964421
C_pollutants_vs_activityBMI,NOx,steps,Healthy,676,-1059.2343667871005,0.18023808248093393
C_pollutants_vs_activityBMI,NOx,steps,Pre-DM,489,1637.2769623249117,0.030874414472877237
C_pollutants_vs_activityBMI,NOx,steps,T2DM (Oral Med+Insulin),800,-458.4204354402592,0.5167901068724303
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,all,2085,-10.17521755848041,0.5713430956395612
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,Healthy,706,-16.740878718196168,0.6278938384326479
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,Pre-DM,522,29.074013808711275,0.39807231072594385
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,-18.483447606325186,0.4865596343761626
C_pollutants_vs_activityBMI,VOC,bmi,all,2225,4.092344411342465,0.00024414635193402857
C_pollutants_vs_activityBMI,VOC,bmi,Healthy,752,1.582130320242661,0.3782090770386445
C_pollutants_vs_activityBMI,VOC,bmi,Pre-DM,550,6.403544026733205,0.008023138025678814
C_pollutants_vs_activityBMI,VOC,bmi,T2DM (Oral Med+Insulin),923,4.118721208208541,0.012709873813210686
C_pollutants_vs_activityBMI,VOC,steps,all,1965,1172.2344190808853,0.04074337616042349
C_pollutants_vs_activityBMI,VOC,steps,Healthy,676,1376.6462609117873,0.13895216664607327
C_pollutants_vs_activityBMI,VOC,steps,Pre-DM,489,784.9297075931528,0.4665263225508445
C_pollutants_vs_activityBMI,VOC,steps,T2DM (Oral Med+Insulin),800,1085.1287269833488,0.2520994251642482
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,all,2085,3.353858742765735,0.886378428077176
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,Healthy,706,31.420291854995384,0.4444031894878114
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,Pre-DM,522,-28.461371392890655,0.5539710346736645
C_pollutants_vs_activityBMI,VOC,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,0.07807447501349465,0.9982492745327111
