,env_outcome,n,predictor,coefficient,p_value
0,mean_hum,2139,interday_glucose_variance,-0.0008642930853170106,0.07269745677906461
1,mean_hum,2139,hba1c,0.23327908927260899,0.3087787427125416
2,mean_hum,2139,glucose_mean,0.008243652945905774,0.3338373712256156
3,mean_hum,2139,intraday_glucose_variance,-0.00038122058701139347,0.44055241261820505
4,mean_hum,2139,glucose_cv,0.02271132076282709,0.6615546550523291
