,outcome,n,r2,log_pm25_coef,log_pm25_p,age_coef,age_p
0,steps,2110,0.0950582575288107,412.90482110446015,1.090640898850596e-06,-80.28704383823604,3.485932703377808e-27
1,active_calories,2153,0.06904427533514945,12.295900212790666,0.00020662503752175512,-2.9030804496020606,8.887463857468292e-24
2,bmi,2225,0.10079606534735341,1.0836737358809636,1.1069952320889513e-11,-0.10816622251593352,3.4841330155760388e-15
