env_metric,sdoh_score,variant,n,env_coef,env_p,eg27_or_eg32_rho,eg33_q_value
mean_pm25,food_insecurity_score,raw,2223,0.00380483960779577,3.8989581076234035e-22,0.2599540904544365,4.897524238955918e-34
mean_pm25,food_insecurity_score,age_site_adjusted,2223,0.0033824395647888287,3.612039776306822e-18,0.2599540904544365,4.897524238955918e-34
mean_pm25,food_insecurity_score,severity_adjusted,2223,0.0031072332222845315,4.1048969032107723e-16,0.2599540904544365,4.897524238955918e-34
mean_pm25,current_smoker,raw,2215,0.001486308186661031,9.200804650813617e-12,0.1491613382991279,3.607987577546048e-11
mean_pm25,current_smoker,age_site_adjusted,2215,0.0015806294880473437,5.326756085350599e-13,0.1491613382991279,3.607987577546048e-11
mean_pm25,current_smoker,severity_adjusted,2215,0.00154085462856103,2.177745430359054e-12,0.1491613382991279,3.607987577546048e-11
mean_light,cesd_total,raw,2228,-11.864163863208312,0.12458933592289063,-0.1385221481612861,7.212101724858225e-10
mean_light,cesd_total,age_site_adjusted,2228,-7.60177947091149,0.31443629921896377,-0.1385221481612861,7.212101724858225e-10
mean_light,cesd_total,severity_adjusted,2228,-6.993374464907056,0.3506995223889087,-0.1385221481612861,7.212101724858225e-10
mean_pm25,cesd_total,raw,2227,0.014068916960932263,4.114712455037719e-09,0.137278483214159,8.130358225420302e-10
mean_pm25,cesd_total,age_site_adjusted,2227,0.01107126721784071,2.5976954772417874e-06,0.137278483214159,8.130358225420302e-10
mean_pm25,cesd_total,severity_adjusted,2227,0.010134966879236644,1.5184081992239437e-05,0.137278483214159,8.130358225420302e-10
mean_light,food_insecurity_score,raw,2224,-1.1352013036597217,0.3880043817037451,-0.1348405957447707,1.4435883153129018e-09
mean_light,food_insecurity_score,age_site_adjusted,2224,-0.4865215955758817,0.7067315553935469,-0.1348405957447707,1.4435883153129018e-09
mean_light,food_insecurity_score,severity_adjusted,2224,-0.3939758425839769,0.7553430451919655,-0.1348405957447707,1.4435883153129018e-09
mean_pm25,paid_total,raw,2181,0.011168212657163714,6.691111721368897e-07,0.1327999073112271,3.350523749422472e-09
mean_pm25,paid_total,age_site_adjusted,2181,0.00963106431465436,1.739513537082603e-05,0.1327999073112271,3.350523749422472e-09
mean_pm25,paid_total,severity_adjusted,2181,0.008364976913500789,0.00012758466744408977,0.1327999073112271,3.350523749422472e-09
mean_temp,food_insecurity_score,raw,2223,0.02912880592451074,9.73683686756661e-05,0.1160708651340126,2.4380839325482457e-07
mean_temp,food_insecurity_score,age_site_adjusted,2223,0.03131156573360165,3.635717779323932e-05,0.1160708651340126,2.4380839325482457e-07
mean_temp,food_insecurity_score,severity_adjusted,2223,0.02381483283406239,0.001424893893719733,0.1160708651340126,2.4380839325482457e-07
mean_temp,substance_use_count,raw,2229,-0.08345848945705725,4.164810711641064e-07,-0.1148832677231135,2.814942486601904e-07
mean_temp,substance_use_count,age_site_adjusted,2229,-0.05226954673463322,0.001833816122947426,-0.1148832677231135,2.814942486601904e-07
mean_temp,substance_use_count,severity_adjusted,2229,-0.043116445211083765,0.010077872085741756,-0.1148832677231135,2.814942486601904e-07
