pollutant,scope,site,outcome,n,r2,coef,p_value
PM2.5,pooled,all,moderate_hyper_mean_glucose,1740,0.03928813577160539,0.7134882821270834,0.0032762043724569967
PM2.5,per_site,UW,moderate_hyper_mean_glucose,632,0.08505196627008016,0.18637680191452333,0.6312210025986867
PM2.5,per_site,UAB,moderate_hyper_mean_glucose,642,0.04315304439258383,0.7929982264345248,0.0468903892242881
PM2.5,per_site,UCSD,moderate_hyper_mean_glucose,466,0.03517189194943948,1.080636843116206,0.04470006123992142
PM2.5,pooled,all,moderate_hyper_windows_per_day,1944,0.056622374632590566,0.06336378002407381,0.19520585034225285
PM2.5,per_site,UW,moderate_hyper_windows_per_day,711,0.09922174823867769,0.00761351329498608,0.9212336608140007
PM2.5,per_site,UAB,moderate_hyper_windows_per_day,715,0.03763657969770684,0.0826263320162244,0.302597064800242
PM2.5,per_site,UCSD,moderate_hyper_windows_per_day,518,0.057880884624768036,0.02296235229788877,0.8390500578904384
PM2.5,pooled,all,severe_hyper_minutes_per_day,1944,0.044105489011547316,10.06815475560485,0.005071790049616992
PM2.5,per_site,UW,severe_hyper_minutes_per_day,711,0.06177542876897524,3.560711936781115,0.4498437957198279
PM2.5,per_site,UAB,severe_hyper_minutes_per_day,715,0.05352191196819667,11.445300330099794,0.09322350890639632
PM2.5,per_site,UCSD,severe_hyper_minutes_per_day,518,0.03890765413260011,9.478519896626318,0.185803680459205
PM2.5,pooled,all,severe_hyper_fraction,1944,0.04282573261714151,0.007825717724196895,0.011869198092494019
PM2.5,per_site,UW,severe_hyper_fraction,711,0.06905842417034203,0.0023126768558778665,0.6011251596633034
PM2.5,per_site,UAB,severe_hyper_fraction,715,0.052156122404850014,0.00869288084471186,0.12323308525968264
PM2.5,per_site,UCSD,severe_hyper_fraction,518,0.050921133538780805,0.007258524810743338,0.2572914989656672
PM2.5,pooled,all,severe_hyper_mean_glucose,728,0.07304998010639019,1.3747370784719903,0.05576055978214349
PM2.5,per_site,UW,severe_hyper_mean_glucose,243,0.1152573071157551,1.1341675831560105,0.36646521863603987
PM2.5,per_site,UAB,severe_hyper_mean_glucose,296,0.10869667874432809,-0.19958248796576328,0.8523951358059935
PM2.5,per_site,UCSD,severe_hyper_mean_glucose,189,0.09920837352024547,2.6063035006143003,0.1374133865632649
PM2.5,pooled,all,severe_hyper_windows_per_day,1944,0.049027627421438735,0.062028284575447346,0.001007331959362907
PM2.5,per_site,UW,severe_hyper_windows_per_day,711,0.0863774394370832,0.03428448353678697,0.20568535956417214
PM2.5,per_site,UAB,severe_hyper_windows_per_day,715,0.03943155781813146,0.061997077892918154,0.06104464311670823
PM2.5,per_site,UCSD,severe_hyper_windows_per_day,518,0.038339448604465476,0.05820585766165866,0.1687333539428656
PM2.5,pooled,all,glucose_mean,1944,0.06224079017096773,1.29866445523172,0.14133764508212196
PM2.5,per_site,UW,glucose_mean,711,0.10948334551655714,-0.17580232090408318,0.8939605976079831
PM2.5,per_site,UAB,glucose_mean,715,0.0547608486651876,1.8256416039312002,0.2280095735559595
PM2.5,per_site,UCSD,glucose_mean,518,0.0499673288200837,0.7714351821937314,0.6983177290862482
PM2.5,pooled,all,glucose_overall_variance,1944,0.05759641970694951,76.73290791611032,0.0005734953452054455
PM2.5,per_site,UW,glucose_overall_variance,711,0.09454540340056228,50.08236330395976,0.07820507190549957
PM2.5,per_site,UAB,glucose_overall_variance,715,0.050115716802602184,51.226748313760034,0.20057353041992593
PM2.5,per_site,UCSD,glucose_overall_variance,518,0.053676981956867875,123.12670397625331,0.018207493242626136
PM2.5,pooled,all,glucose_mean_daily_variance,1944,0.05352256872422445,36.69893141258986,0.03251896176047552
PM2.5,per_site,UW,glucose_mean_daily_variance,711,0.09564438642238693,32.51803328301579,0.14192727543661388
PM2.5,per_site,UAB,glucose_mean_daily_variance,715,0.04216382521596518,5.975713962997091,0.8434661958009761
PM2.5,per_site,UCSD,glucose_mean_daily_variance,518,0.050067743848068225,65.75027247612398,0.11246301726125071
PM2.5,pooled,all,glucose_cv_ratio,1944,0.05035235077119815,0.0046097268597321776,0.00039444717079380274
PM2.5,per_site,UW,glucose_cv_ratio,711,0.06195661998332502,0.001752738354670435,0.3630176174597175
PM2.5,per_site,UAB,glucose_cv_ratio,715,0.03575697403152367,0.0028233359228557933,0.19761031343990654
PM2.5,per_site,UCSD,glucose_cv_ratio,518,0.0809790240564291,0.011366487408807358,0.0001643977305489247
NOx,pooled,all,severe_hypo_minutes_per_day,1944,0.011910421346190359,2.3260444710503236,0.1549335369448054
NOx,per_site,UW,severe_hypo_minutes_per_day,711,0.016292702462843534,0.9118848190779303,0.3750615084697855
NOx,per_site,UAB,severe_hypo_minutes_per_day,715,0.019034156829051074,1.719940825745479,0.6092521748901594
NOx,per_site,UCSD,severe_hypo_minutes_per_day,518,0.0652274643381957,8.006471328109123,0.02212984769364716
NOx,pooled,all,severe_hypo_fraction,1944,0.008366360839488607,0.0016693776402783472,0.43423241164939047
NOx,per_site,UW,severe_hypo_fraction,711,0.01631338402013771,0.0006326251024523135,0.38691666012134046
NOx,per_site,UAB,severe_hypo_fraction,715,0.015674129937571224,0.0010813514623377017,0.8236581028840455
NOx,per_site,UCSD,severe_hypo_fraction,518,0.06646274309249134,0.006811835435908311,0.018466954043830613
NOx,pooled,all,severe_hypo_mean_glucose,597,0.02466402535421708,0.10915815991462643,0.8755815356476295
NOx,per_site,UW,severe_hypo_mean_glucose,215,0.08616282169580824,0.25755679026219436,0.8419540451090279
NOx,per_site,UAB,severe_hypo_mean_glucose,264,0.03317909131852692,-0.6112678789189032,0.5161863404333188
NOx,per_site,UCSD,severe_hypo_mean_glucose,118,0.07627521810785409,2.7434190093508186,0.1607777738800288
NOx,pooled,all,severe_hypo_windows_per_day,1944,0.014187044837216,0.03542182710956293,0.3130432735783664
NOx,per_site,UW,severe_hypo_windows_per_day,711,0.018992514800955873,0.033015807921793365,0.34824507315982167
NOx,per_site,UAB,severe_hypo_windows_per_day,715,0.024503909917116373,0.044305605757031574,0.5396340362790313
NOx,per_site,UCSD,severe_hypo_windows_per_day,518,0.04805977964765451,0.07152766899529617,0.22156542299803306
NOx,pooled,all,moderate_hypo_minutes_per_day,1944,0.008644683819480248,1.779428751541004,0.51468695383996
NOx,per_site,UW,moderate_hypo_minutes_per_day,711,0.024727734205491125,2.239038982734534,0.5868035072657433
NOx,per_site,UAB,moderate_hypo_minutes_per_day,715,0.021533798964939455,5.002870455074874,0.30288020677426536
NOx,per_site,UCSD,moderate_hypo_minutes_per_day,518,0.02473993394041618,-3.223677956088759,0.5213905994581127
NOx,pooled,all,moderate_hypo_fraction,1944,0.009144950126800722,0.001217623419075933,0.5379592055988377
NOx,per_site,UW,moderate_hypo_fraction,711,0.02477548694722098,0.0015680489502322287,0.5895571045149448
NOx,per_site,UAB,moderate_hypo_fraction,715,0.022525420746024816,0.003569656777294045,0.31950929244664134
NOx,per_site,UCSD,moderate_hypo_fraction,518,0.02497638587805917,-0.0022696535527874737,0.5196420206610921
NOx,pooled,all,moderate_hypo_mean_glucose,1150,0.01013693731693377,-0.17512145868665668,0.7128177648638268
NOx,per_site,UW,moderate_hypo_mean_glucose,420,0.018684060157912574,-0.6576375869100168,0.44785685502640604
NOx,per_site,UAB,moderate_hypo_mean_glucose,448,0.010855496607643622,0.13776439930230389,0.8354856555523077
NOx,per_site,UCSD,moderate_hypo_mean_glucose,282,0.04710318730802143,-1.3912820890194382,0.25140108432434594
NOx,pooled,all,moderate_hypo_windows_per_day,1944,0.00956625910519271,0.06560787281730192,0.47215086803554307
NOx,per_site,UW,moderate_hypo_windows_per_day,711,0.027697216154761395,0.12544670011214087,0.3463437739365729
NOx,per_site,UAB,moderate_hypo_windows_per_day,715,0.02388368192010515,0.16275864470697263,0.3205952195901944
NOx,per_site,UCSD,moderate_hypo_windows_per_day,518,0.022169657899491102,-0.15512975538368295,0.3643375044108124
NOx,pooled,all,normal_minutes_per_day,1944,0.06320797890946483,-28.50222564098297,0.4670813821241496
NOx,per_site,UW,normal_minutes_per_day,711,0.09344256526710037,1.17138165778317,0.9837233902024664
NOx,per_site,UAB,normal_minutes_per_day,715,0.06205281526816786,4.027009534270226,0.9510019601974133
NOx,per_site,UCSD,normal_minutes_per_day,518,0.05528474126084615,-230.98052756611906,0.010407366487920754
NOx,pooled,all,normal_fraction,1944,0.06242618744944184,-0.01893529840809429,0.4839985837940385
NOx,per_site,UW,normal_fraction,711,0.09607771754690775,0.000949922508322524,0.9809286012210552
NOx,per_site,UAB,normal_fraction,715,0.05879272197396257,0.002725340214956228,0.9520409150656658
NOx,per_site,UCSD,normal_fraction,518,0.055780465311523475,-0.1527442042086982,0.013831797625726186
NOx,pooled,all,normal_mean_glucose,1933,0.05896290714841135,1.0043094699915966,0.6260162020686161
NOx,per_site,UW,normal_mean_glucose,707,0.11223377908080767,-3.3774739012838997,0.3026693241431047
NOx,per_site,UAB,normal_mean_glucose,710,0.04139305529068704,-0.8949847072661982,0.7781611933367972
NOx,per_site,UCSD,normal_mean_glucose,516,0.08387182490120337,16.24090333534639,0.0012795598696193732
NOx,pooled,all,normal_windows_per_day,1944,0.041182748233527855,0.33053474332151594,0.09270303877961004
NOx,per_site,UW,normal_windows_per_day,711,0.046821783592297606,0.18299993452301233,0.5574274311370583
NOx,per_site,UAB,normal_windows_per_day,715,0.030668198405960134,0.35232071579714647,0.25496264429679366
NOx,per_site,UCSD,normal_windows_per_day,518,0.06458599258220576,0.9055368800831853,0.05159073395158679
NOx,pooled,all,moderate_hyper_minutes_per_day,1944,0.06351253090588371,38.00183186644679,0.10608927410964544
NOx,per_site,UW,moderate_hyper_minutes_per_day,711,0.10534289023775179,16.2053538376237,0.6664652876329255
NOx,per_site,UAB,moderate_hyper_minutes_per_day,715,0.042968430030786764,19.22671234638476,0.6088414742275672
NOx,per_site,UCSD,moderate_hyper_minutes_per_day,518,0.07523738301296545,165.74788637506458,0.0021245727094908683
NOx,pooled,all,moderate_hyper_fraction,1944,0.0639467963963205,0.026468480925209335,0.10770383377291896
NOx,per_site,UW,moderate_hyper_fraction,711,0.10533681729490219,0.01044033995349622,0.6912188316718662
NOx,per_site,UAB,moderate_hyper_fraction,715,0.04389863519266313,0.013326424684946476,0.6118864146160605
NOx,per_site,UCSD,moderate_hyper_fraction,518,0.07485368558945649,0.11686714678122072,0.0020159346800100258
NOx,pooled,all,moderate_hyper_mean_glucose,1740,0.03564955892004806,1.8706778498026635,0.14571409266829977
NOx,per_site,UW,moderate_hyper_mean_glucose,632,0.08494816548647344,0.8357196595756591,0.6890365247107858
