,predictor,pair,n,coefficient,odds_ratio,p_value,direction
0,mean_glucose,Pre-DM vs Insulin,703,0.046539758352448495,1.04763973067018,1.9544814848929382e-26,higher -> more Insulin-like
1,mean_temp,Pre-DM vs Insulin,703,0.17128694345799808,1.1868312536305674,0.0005077812766809232,higher -> more Insulin-like
2,heart_rate,Pre-DM vs Insulin,703,0.094502401319664,1.0991118024486053,0.0013566419907741366,higher -> more Insulin-like
3,age,Pre-DM vs Insulin,703,0.03251744407707316,1.0330519136239986,0.005472127320280633,higher -> more Insulin-like
4,mean_voc,Pre-DM vs Insulin,703,0.018874085813094146,1.0190533272677218,0.006099206571307521,higher -> more Insulin-like
5,steps,Pre-DM vs Insulin,703,-0.00014492662777428967,0.9998550838735821,0.009522667777861617,higher -> more Pre-DM-like
6,log_pm25,Pre-DM vs Insulin,703,0.22921067243022436,1.257606954217006,0.0710362645871022,higher -> more Insulin-like
7,bmi,Pre-DM vs Insulin,703,0.0251175736040648,1.0254356776054774,0.10567542522027788,higher -> more Insulin-like
8,mean_light,Pre-DM vs Insulin,703,6.954662962727819,1048.0252548477722,0.2507824333262769,higher -> more Insulin-like
9,mean_nox,Pre-DM vs Insulin,703,0.1639049382830285,1.1781023173404026,0.3672464067501434,higher -> more Insulin-like
10,sleep_hours,Pre-DM vs Insulin,703,-0.04688151712484645,0.9542004473054808,0.4032129446161251,higher -> more Pre-DM-like
11,active_calories,Pre-DM vs Insulin,703,-0.0009011173454839614,0.9990992885388256,0.47812453957607004,higher -> more Pre-DM-like
12,mean_hum,Pre-DM vs Insulin,703,0.01228699213395284,1.0123627873353678,0.48184069075363245,higher -> more Insulin-like
13,stress,Pre-DM vs Insulin,703,0.0009857055181664138,1.0009861914855112,0.9450185599589069,higher -> more Insulin-like
