block,predictor,outcome,stratum,n,coef,p,q_value_at_0.05,fdr_significant_q0.05,fdr_significant_q0.10
B_glycemia_vs_activityBMI,bmi,tir,T2DM (Oral Med+Insulin),931,-0.1832187927044625,0.1374484841684305,0.3001366799555181,False,False
B_glycemia_vs_activityBMI,steps,hba1c,all,1937,3.1805598735967914e-05,1.0900599996918367e-05,0.00014715809995839797,True,True
B_glycemia_vs_activityBMI,steps,hba1c,Healthy,674,1.9255237868154516e-05,0.0015095333688403,0.012540738756519417,True,True
B_glycemia_vs_activityBMI,steps,hba1c,Pre-DM,484,4.341409719179599e-06,0.605364731283515,0.769169305630819,False,False
B_glycemia_vs_activityBMI,steps,hba1c,T2DM (Oral Med+Insulin),779,3.0092681013616023e-05,0.0175001877551037,0.06750072419825713,False,True
B_glycemia_vs_activityBMI,steps,glucose_mean,all,1974,0.0006934872964539,0.0046247446967389,0.024973621362390064,True,True
B_glycemia_vs_activityBMI,steps,glucose_mean,Healthy,677,0.0002080206210402,0.2750868771521845,0.4715775036894591,False,False
B_glycemia_vs_activityBMI,steps,glucose_mean,Pre-DM,490,-0.0006424713871275,0.0939449149736229,0.23238119083501846,False,False
B_glycemia_vs_activityBMI,steps,glucose_mean,T2DM (Oral Med+Insulin),807,0.0008773199542344,0.0377017095209788,0.1131051285629364,False,False
B_glycemia_vs_activityBMI,steps,tir,all,1974,-0.0003212653651265,0.020746096051295,0.074685945784662,False,True
B_glycemia_vs_activityBMI,steps,tir,Healthy,677,-7.28699060899698e-05,0.3245785765143334,0.5311285797507274,False,False
B_glycemia_vs_activityBMI,steps,tir,Pre-DM,490,0.0001918306839542,0.3403639117694423,0.5405779775161731,False,False
B_glycemia_vs_activityBMI,steps,tir,T2DM (Oral Med+Insulin),807,-0.0003428506574472,0.1663959300976724,0.3436338059957334,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,all,2054,0.0002406629933401,0.1623923665268433,0.3436338059957334,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,Healthy,703,0.000200741466198,0.1359693235022788,0.3001366799555181,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,Pre-DM,516,0.0005358836223177,0.0024462098099958,0.01651191621747165,True,True
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,hba1c,T2DM (Oral Med+Insulin),835,0.0001707114625477,0.6008398086598424,0.769169305630819,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,all,2095,0.0149500162497106,0.0084134532029544,0.04130240663268524,True,True
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,Healthy,707,0.0064122971025576,0.1195378633698438,0.27468274987113045,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,Pre-DM,523,0.0131950057692205,0.0968254961812577,0.23238119083501846,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,glucose_mean,T2DM (Oral Med+Insulin),865,0.0254481858392165,0.0160903250963486,0.06683673501560188,False,True
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,all,2095,-0.0060208505448826,0.0627721429324282,0.16948478591755614,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,Healthy,707,-0.001668142922654,0.2946474383176649,0.4895680513585816,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,Pre-DM,523,-0.0070054990485486,0.0990970872379247,0.23266272655860581,False,False
B_glycemia_vs_activityBMI,active_minutes_v1_per_day,tir,T2DM (Oral Med+Insulin),865,-0.0112322735758825,0.0714165432051794,0.18364253967046132,False,False
C_pollutants_vs_activityBMI,PM2.5,bmi,all,2225,1.0836737358809636,1.1069952320889511e-11,5.977774253280337e-10,True,True
C_pollutants_vs_activityBMI,PM2.5,bmi,Healthy,752,1.2497498600852055,5.491833238557248e-07,9.885299829403046e-06,True,True
C_pollutants_vs_activityBMI,PM2.5,bmi,Pre-DM,550,1.004167983492488,0.0045147436324974,0.024973621362390064,True,True
C_pollutants_vs_activityBMI,PM2.5,bmi,T2DM (Oral Med+Insulin),923,0.5776237366601812,0.0173306034049623,0.06750072419825713,False,True
C_pollutants_vs_activityBMI,PM2.5,steps,all,1965,370.7456544554032,3.839196215476595e-06,5.923331303878175e-05,True,True
C_pollutants_vs_activityBMI,PM2.5,steps,Healthy,676,433.15932175233246,0.000869289950381,0.007823609553429001,True,True
C_pollutants_vs_activityBMI,PM2.5,steps,Pre-DM,489,47.25732878761594,0.7561198180593961,0.8418653644372658,False,False
C_pollutants_vs_activityBMI,PM2.5,steps,T2DM (Oral Med+Insulin),800,408.5113316500317,0.0023416704277568,0.01651191621747165,True,True
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,all,2085,6.710200768932417,0.0422899587477234,0.12019251433563492,False,False
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,Healthy,706,4.163992718922067,0.4689825613501095,0.6753348883441578,False,False
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,Pre-DM,522,-1.4336617979947448,0.8336987353258885,0.9050480468336827,False,False
C_pollutants_vs_activityBMI,PM2.5,active_minutes_v1_per_day,T2DM (Oral Med+Insulin),857,11.462365910434048,0.0240256468171899,0.08370225342762933,False,True
C_pollutants_vs_activityBMI,NOx,bmi,all,2225,-2.187217586039387,0.0113408461361523,0.05103380761268535,False,True
C_pollutants_vs_activityBMI,NOx,bmi,Healthy,752,-1.7192275491138007,0.2369176065415916,0.42645169177486486,False,False
C_pollutants_vs_activityBMI,NOx,bmi,Pre-DM,550,-3.2957340141755607,0.0657078658908024,0.1730841345416258,False,False
C_pollutants_vs_activityBMI,NOx,bmi,T2DM (Oral Med+Insulin),923,-1.722447901560121,0.1749986974978272,0.3436338059957334,False,False
C_pollutants_vs_activityBMI,NOx,steps,all,1965,-180.4687253653368,0.6809367488964421,0.800304963400058,False,False
C_pollutants_vs_activityBMI,NOx,steps,Healthy,676,-1059.2343667871005,0.1802380824809339,0.34760201621322967,False,False
C_pollutants_vs_activityBMI,NOx,steps,Pre-DM,489,1637.2769623249117,0.0308744144728772,0.10065249377797177,False,False
C_pollutants_vs_activityBMI,NOx,steps,T2DM (Oral Med+Insulin),800,-458.4204354402592,0.5167901068724303,0.7064978676230693,False,False
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,all,2085,-10.17521755848041,0.5713430956395612,0.752500662549666,False,False
C_pollutants_vs_activityBMI,NOx,active_minutes_v1_per_day,Healthy,706,-16.740878718196168,0.6278938384326479,0.7817056682701041,False,False
