,active_variant,outcome,n,r2,active_coef,active_p,active_calories_coef,active_calories_p,bmi_coef,bmi_p
0,active_minutes_v1_per_day,glucose_mean,2090,0.2807364959294417,0.01305385620061738,0.02569921950467213,0.008558519358601345,0.1384943790848872,0.19470499792280122,0.05453850890104778
1,active_minutes_v1_per_day,glucose_cv,2090,0.2246604278109745,-0.0009023088749281722,0.3157653141855257,-0.0006519395272094748,0.46295474444170776,-0.037925882853941086,0.014907062845352443
2,active_minutes_v1_per_day,tar_180,2090,0.30690514666047364,0.0052373422082163225,0.11303722426039915,0.004620169793833395,0.15688906489470714,0.07719929263957578,0.17714456880220875
3,active_minutes_v1_per_day,spikes_per_day_180,2090,0.25191547361305433,0.0005105068136419347,0.038745546477912174,-0.00016502887268388125,0.4984939736570826,-0.006929078645901218,0.10500601605761484
4,active_minutes_v2_per_day,glucose_mean,2090,0.2790270141631268,-0.0014483093426202452,0.8421956859574645,0.015990780373431424,0.001315879014312904,0.18712680890545333,0.06675434968065846
5,active_minutes_v2_per_day,glucose_cv,2090,0.22532671458455922,-0.0018675586713856062,0.0946065874601106,-0.0008191086780194918,0.28325770252515703,-0.04064024301980955,0.009530751330952722
6,active_minutes_v2_per_day,tar_180,2090,0.30615009972030516,-0.0020416781350835584,0.6191289919713957,0.007859324250154377,0.005150627144695933,0.07175514231179142,0.2129662676803351
7,active_minutes_v2_per_day,spikes_per_day_180,2090,0.25141280885392714,0.0005204297160363563,0.08995559213340036,2.399126987728545e-05,0.9089046330467206,-0.006275764369639552,0.1448260268655823
