outcome,n,r2,log_pm25_coef,log_pm25_p,bmi_coef,bmi_p
glucose_mean,1944,0.2861898471108173,0.011625483147019722,0.9883600612235943,0.22635631813596374,0.03660612468448909
glucose_cv,1944,0.22812983917123153,0.19172681517419238,0.11363687937657294,-0.05578066744020511,0.0007123764554659285
tar_180,1944,0.31208458772078795,0.46533291411053024,0.2989641306677009,0.08173452453559643,0.17926268136188372
spikes_per_day_180,1944,0.2507858060656285,-0.04763207048423494,0.15623230665572183,-0.008427707771074672,0.0648032932510067
