,outcome,n,r2,steps_coef,steps_p,active_calories_coef,active_calories_p,bmi_coef,bmi_p
0,glucose_mean,2116,0.2804533172221123,-0.00014909944762133114,0.5559632174163953,0.018221337033697056,0.004597004062657199,0.18135794288645402,0.07029434462646753
1,glucose_cv,2116,0.22842796279614064,9.732837476446882e-06,0.8033694515385054,-0.0014540240657706554,0.1426865590647109,-0.03548241349126439,0.021832966361169274
2,tar_180,2116,0.3087988840825405,-0.00011172974091374636,0.434497279761308,0.00949382888490482,0.008905904345725682,0.07144033390964627,0.20655967951898432
3,spikes_per_day_180,2116,0.251893644900019,-1.2615308947271376e-05,0.23856604578723323,0.0003416364000104499,0.20836851316453395,-0.007057448908894669,0.09561419739684283
