env_metric,sdoh_score,n,spearman_rho,p_value
mean_pm25,food_insecurity_score,2223,0.25995409045443657,1.166077199751409e-35
mean_light,food_insecurity_score,2224,-0.1348405957447707,1.718557518229645e-10
mean_temp,food_insecurity_score,2223,0.11607086513401264,4.063473220913742e-08
mean_voc,food_insecurity_score,2223,0.10957083198438874,2.2329858517439688e-07
mean_hum,food_insecurity_score,2223,0.05426295314641102,0.0105011768691277
mean_nox,food_insecurity_score,2223,-0.04961606238623651,0.019311742093402695
