outcome,n,r2,log_pm25_coef,log_pm25_p,log_pm25_p_with_severity,bmi_coef,bmi_p
glucose_mean,1944,0.06314600797379488,1.2806434611132813,0.15905458826210545,0.988,0.6406445531611299,1.698843025380551e-07
glucose_cv,1944,0.06079122199437903,0.36507035155925693,0.006135741512824095,0.114,-0.004672414011260331,0.7937257804236366
tar_180,1944,0.06641121862243937,1.2430952208256203,0.01683851115536022,0.299,0.32284204326058225,3.95115644411445e-06
spikes_per_day_180,1944,0.0517462908637365,-0.010114151148066488,0.7880936877363449,0.156,0.008235363716972194,0.1032161830953247
