,predictor,pair,n,coefficient,odds_ratio,p_value,direction
0,mean_glucose,Pre-DM vs Oral Med,1063,0.029475905520051686,1.0299146199157758,7.10178875551279e-21,higher -> more Oral Med-like
1,sleep_hours,Pre-DM vs Oral Med,1063,-0.11574253685990157,0.8907045173607607,0.001328822454863006,higher -> more Pre-DM-like
2,age,Pre-DM vs Oral Med,1063,0.01901003211274809,1.0191918732139047,0.007946859820680358,higher -> more Oral Med-like
3,heart_rate,Pre-DM vs Oral Med,1063,0.0320943474218244,1.0326149252653214,0.013201394586282732,higher -> more Oral Med-like
4,mean_temp,Pre-DM vs Oral Med,1063,0.07211110384504486,1.0747747490376902,0.016251574617775696,higher -> more Oral Med-like
5,stress,Pre-DM vs Oral Med,1063,0.016674809171358187,1.016814609770284,0.04202701595875675,higher -> more Oral Med-like
6,bmi,Pre-DM vs Oral Med,1063,0.013261441846446237,1.0133497647642629,0.2066637835188192,higher -> more Oral Med-like
7,steps,Pre-DM vs Oral Med,1063,-2.7759642763322618e-05,0.999972240742532,0.38941279455638456,higher -> more Pre-DM-like
8,log_pm25,Pre-DM vs Oral Med,1063,0.042941971281279724,1.0438773182297596,0.5857097623277383,higher -> more Oral Med-like
9,mean_hum,Pre-DM vs Oral Med,1063,0.005473670589899717,1.0054886784950445,0.5946520084436548,higher -> more Oral Med-like
10,mean_voc,Pre-DM vs Oral Med,1063,0.0014498327481424688,1.0014508842637537,0.7408418784191071,higher -> more Oral Med-like
11,active_calories,Pre-DM vs Oral Med,1063,-0.00022917589917909807,0.9997708503596113,0.7535942732377621,higher -> more Pre-DM-like
12,mean_nox,Pre-DM vs Oral Med,1063,-0.031988886427245344,0.9685173457073719,0.7585779294922793,higher -> more Pre-DM-like
13,mean_light,Pre-DM vs Oral Med,1063,0.03712269237681612,1.0378203456720227,0.9936354930445775,higher -> more Oral Med-like
