env_metric,sdoh_score,stage1_rho,stage1_p,severity_kruskal_stat,severity_kruskal_p
mean_pm25,paid_total,0.1327999073112271,4.78646249917496e-10,224.06852566539231,2.6496820760500195e-48
mean_temp,substance_use_count,-0.11488326772311358,5.3617952125750546e-08,62.08623846351811,2.1057931696413842e-13
mean_light,cesd_total,-0.13852214816128616,5.1515012320415884e-11,39.689521656067775,1.2398345484328783e-08
mean_nox,neighborhood_score,0.093041383202439,1.864013117665181e-05,20.904132081966516,0.00011021418044848853
mean_pm25,current_smoker,0.14916133829912795,1.7180893226409754e-12,10.457554116313998,0.015051613816853307
mean_light,diet_score,-0.12283670970343577,0.0010737192497497906,10.228814390813785,0.016717991981345413
