exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
glucose_mean,monofilament_missed,damage,CGM mean glucose (mg/dL),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,39.78422469918356,2238,0.1096,0.0187,0.2004,0.018082649424394682,0.02260331178049335,
tar_180,abn_kidney,unadjusted,CGM time above 180 mg/dL (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,21.686524979591773,2195,1.6854,1.5298,1.857,4.7463813238634564e-26,,
tar_180,abn_kidney,damage,CGM time above 180 mg/dL (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,21.686524979591773,2195,1.4926,1.3263,1.6797,2.994126540084551e-11,4.497638364493817e-10,
tar_180,abn_heart,unadjusted,CGM time above 180 mg/dL (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,21.686524979591773,2202,1.5289,1.3951,1.6754,9.793157280461239e-20,,
tar_180,abn_heart,damage,CGM time above 180 mg/dL (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,21.686524979591773,2202,1.1954,1.0596,1.3486,0.003725358212161511,0.005519049203202238,
tar_180,abn_nerve,unadjusted,CGM time above 180 mg/dL (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,21.686524979591773,2238,1.3535,1.2277,1.4921,1.1888428282314217e-09,,
tar_180,abn_nerve,damage,CGM time above 180 mg/dL (%),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,21.686524979591773,2238,1.2411,1.094,1.4079,0.0007897683924278042,0.001504320747481532,
tar_180,abn_any,unadjusted,CGM time above 180 mg/dL (%),Any of the three organs abnormal,binomial,per 1 SD,21.686524979591773,2188,1.7076,1.5492,1.8821,4.509206095944317e-27,,
tar_180,abn_any,damage,CGM time above 180 mg/dL (%),Any of the three organs abnormal,binomial,per 1 SD,21.686524979591773,2188,1.4172,1.2651,1.5875,1.7266759069468125e-09,1.151117271297875e-08,
tar_180,abn_multi,unadjusted,CGM time above 180 mg/dL (%),Two or more organs abnormal,binomial,per 1 SD,21.686524979591773,2188,1.6532,1.4931,1.8304,3.7773926454739247e-22,,
tar_180,abn_multi,damage,CGM time above 180 mg/dL (%),Two or more organs abnormal,binomial,per 1 SD,21.686524979591773,2188,1.3784,1.2041,1.578,3.2827940134803955e-06,8.754117369281054e-06,
tar_180,log_acr,unadjusted,CGM time above 180 mg/dL (%),log urine ACR (mg/g),gaussian,per 1 SD,21.686524979591773,2195,0.4225,0.3431,0.5018,6.527885847118008e-25,,
tar_180,log_acr,damage,CGM time above 180 mg/dL (%),log urine ACR (mg/g),gaussian,per 1 SD,21.686524979591773,2195,0.2959,0.2018,0.39,8.414004354353276e-10,6.7312034834826205e-09,
tar_180,log_troponin,unadjusted,CGM time above 180 mg/dL (%),log hs-cTnT (ng/L),gaussian,per 1 SD,21.686524979591773,2202,0.1405,0.1184,0.1626,1.5033670675764713e-34,,
tar_180,log_troponin,damage,CGM time above 180 mg/dL (%),log hs-cTnT (ng/L),gaussian,per 1 SD,21.686524979591773,2202,0.0646,0.0408,0.0884,1.1295698085611149e-07,3.7652326952037166e-07,
tar_180,monofilament_missed,unadjusted,CGM time above 180 mg/dL (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,21.686524979591773,2238,0.2673,0.1869,0.3476,8.537326400065268e-11,,
tar_180,monofilament_missed,damage,CGM time above 180 mg/dL (%),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,21.686524979591773,2238,0.1356,0.0423,0.229,0.004430515916854584,0.0063293084526494054,
glucose_cv,abn_kidney,unadjusted,CGM coefficient of variation (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,5.612658980745045,2195,1.5667,1.4053,1.7467,5.869463848493452e-16,,
glucose_cv,abn_kidney,damage,CGM coefficient of variation (%),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,5.612658980745045,2195,1.2964,1.1442,1.4689,4.6198907692938635e-05,0.00010266423931764142,
glucose_cv,abn_heart,unadjusted,CGM coefficient of variation (%),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,5.612658980745045,2202,1.4582,1.3209,1.6097,7.519160027362279e-14,,
