experiment,exposure,outcome,site,n,estimate,ci_lo,ci_hi,p,note
E2C.3,paid_total,log_acr,UAB,780,0.1065,-0.0339,0.2469,0.1367322031953825,
E2C.3,paid_total,log_acr,UCSD,630,-0.014,-0.1644,0.1365,0.8553412863973447,
E2C.3,paid_total,log_troponin,UW,765,-0.0333,-0.0646,-0.002,0.03688785781438717,
E2C.3,paid_total,log_troponin,UAB,783,0.0065,-0.034,0.047,0.7536064846518766,
E2C.3,paid_total,log_troponin,UCSD,634,-0.0144,-0.053,0.0241,0.4621201010068239,
E2C.3,paid_total,monofilament_missed,UW,765,0.0361,-0.0895,0.1616,0.5727848008145617,
E2C.3,paid_total,monofilament_missed,UAB,790,-0.0361,-0.201,0.1288,0.6674656648825951,
E2C.3,paid_total,monofilament_missed,UCSD,664,-0.0224,-0.1528,0.1081,0.7364855110974748,
E2C.3,paid_positive,abn_kidney,UW,765,1.4373,0.8428,2.4512,0.1828443636849062,
E2C.3,paid_positive,abn_kidney,UAB,780,1.4186,0.8537,2.3571,0.17716849817893066,
E2C.3,paid_positive,abn_kidney,UCSD,630,1.2025,0.7153,2.0217,0.4865854257655471,
E2C.3,paid_positive,abn_heart,UW,765,0.6414,0.3487,1.1799,0.15325433508274833,
E2C.3,paid_positive,abn_heart,UAB,783,0.9545,0.5645,1.614,0.8620139508417661,
E2C.3,paid_positive,abn_heart,UCSD,634,1.1187,0.6922,1.8079,0.6468839656100471,
E2C.3,paid_positive,abn_nerve,UW,765,1.3022,0.7178,2.3625,0.384876901867772,
E2C.3,paid_positive,abn_nerve,UAB,790,0.6275,0.3538,1.113,0.11097517833098869,
E2C.3,paid_positive,abn_nerve,UCSD,664,1.3859,0.8107,2.3693,0.23297194368312402,
E2C.3,paid_positive,abn_any,UW,763,0.9587,0.6118,1.5022,0.8539055147947859,
E2C.3,paid_positive,abn_any,UAB,780,0.7381,0.4738,1.1498,0.17930547751923687,
E2C.3,paid_positive,abn_any,UCSD,625,1.1634,0.7682,1.762,0.47471531343261475,
E2C.3,paid_positive,abn_multi,UW,763,1.3885,0.6882,2.8014,0.3594487436044165,
E2C.3,paid_positive,abn_multi,UAB,780,1.343,0.7656,2.3559,0.3037083596318664,
E2C.3,paid_positive,abn_multi,UCSD,625,1.1395,0.5947,2.1832,0.6939182031472543,
E2C.3,paid_positive,log_acr,UW,765,-0.1705,-0.5126,0.1715,0.3280476075374392,
E2C.3,paid_positive,log_acr,UAB,780,0.2851,-0.0529,0.623,0.09818389840367334,
E2C.3,paid_positive,log_acr,UCSD,630,-0.0412,-0.4061,0.3238,0.8247879647764835,
E2C.3,paid_positive,log_troponin,UW,765,-0.0784,-0.1563,-0.0006,0.04835381030927137,
E2C.3,paid_positive,log_troponin,UAB,783,0.0226,-0.0751,0.1203,0.6502144266550003,
E2C.3,paid_positive,log_troponin,UCSD,634,-0.0158,-0.1092,0.0777,0.7406816571456282,
E2C.3,paid_positive,monofilament_missed,UW,765,-0.0282,-0.3408,0.2844,0.859687980421765,
