exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
paid_positive,abn_heart,damage,PAID-5 distress-positive (>= 8),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,yes vs no,,2182,0.8852,0.6532,1.1995,0.4313406299452607,0.9777528683599441,
paid_positive,abn_heart,damage+hba1c,PAID-5 distress-positive (>= 8),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,yes vs no,,2160,0.8397,0.615,1.1464,0.2713427526160179,,
paid_positive,abn_nerve,unadjusted,PAID-5 distress-positive (>= 8),Nerve abnormal (>= 2 insensate sites),binomial,yes vs no,,2219,0.8632,0.6359,1.1717,0.3453043593451699,,
paid_positive,abn_nerve,damage,PAID-5 distress-positive (>= 8),Nerve abnormal (>= 2 insensate sites),binomial,yes vs no,,2219,0.9954,0.7208,1.3747,0.9777528683599441,0.9777528683599441,
paid_positive,abn_nerve,damage+hba1c,PAID-5 distress-positive (>= 8),Nerve abnormal (>= 2 insensate sites),binomial,yes vs no,,2154,0.9376,0.6684,1.3152,0.7090664564568412,,
paid_positive,abn_any,unadjusted,PAID-5 distress-positive (>= 8),Any of the three organs abnormal,binomial,yes vs no,,2168,0.9065,0.7246,1.1341,0.39030083683842787,,
paid_positive,abn_any,damage,PAID-5 distress-positive (>= 8),Any of the three organs abnormal,binomial,yes vs no,,2168,0.9332,0.7267,1.1984,0.5878600585454066,0.9777528683599441,
paid_positive,abn_any,damage+hba1c,PAID-5 distress-positive (>= 8),Any of the three organs abnormal,binomial,yes vs no,,2148,0.9006,0.6977,1.1626,0.4216968263484432,,
paid_positive,abn_multi,unadjusted,PAID-5 distress-positive (>= 8),Two or more organs abnormal,binomial,yes vs no,,2168,1.1033,0.796,1.5292,0.5550357466299896,,
paid_positive,abn_multi,damage,PAID-5 distress-positive (>= 8),Two or more organs abnormal,binomial,yes vs no,,2168,1.2558,0.8753,1.8017,0.21623571352309545,0.6919542832739054,
paid_positive,abn_multi,damage+hba1c,PAID-5 distress-positive (>= 8),Two or more organs abnormal,binomial,yes vs no,,2148,1.1736,0.8089,1.7027,0.3992095183055161,,
paid_positive,log_acr,unadjusted,PAID-5 distress-positive (>= 8),log urine ACR (mg/g),gaussian,yes vs no,,2175,0.0798,-0.121,0.2807,0.4356590344788982,,
paid_positive,log_acr,damage,PAID-5 distress-positive (>= 8),log urine ACR (mg/g),gaussian,yes vs no,,2175,0.0201,-0.1798,0.2201,0.8434324474152017,0.9777528683599441,
paid_positive,log_acr,damage+hba1c,PAID-5 distress-positive (>= 8),log urine ACR (mg/g),gaussian,yes vs no,,2153,-0.0247,-0.2237,0.1743,0.8074524405658021,,
paid_positive,log_troponin,unadjusted,PAID-5 distress-positive (>= 8),log hs-cTnT (ng/L),gaussian,yes vs no,,2182,-0.0466,-0.104,0.0108,0.1113811157457717,,
paid_positive,log_troponin,damage,PAID-5 distress-positive (>= 8),log hs-cTnT (ng/L),gaussian,yes vs no,,2182,-0.0289,-0.0806,0.0228,0.2733408045451396,0.7289088121203723,
paid_positive,log_troponin,damage+hba1c,PAID-5 distress-positive (>= 8),log hs-cTnT (ng/L),gaussian,yes vs no,,2160,-0.0438,-0.095,0.0074,0.09359233888475861,,
paid_positive,monofilament_missed,unadjusted,PAID-5 distress-positive (>= 8),"Insensate sites, worse foot (0-10)",gaussian,yes vs no,,2219,-0.0765,-0.2772,0.1241,0.45452223053517915,,
paid_positive,monofilament_missed,damage,PAID-5 distress-positive (>= 8),"Insensate sites, worse foot (0-10)",gaussian,yes vs no,,2219,-0.0079,-0.2066,0.1908,0.9378187161299822,0.9777528683599441,
paid_positive,monofilament_missed,damage+hba1c,PAID-5 distress-positive (>= 8),"Insensate sites, worse foot (0-10)",gaussian,yes vs no,,2154,-0.0626,-0.2638,0.1385,0.5414297419785623,,
