exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
heart_rate,abn_any,unadjusted,Resting heart rate (bpm),Any of the three organs abnormal,binomial,per 1 SD,9.628731206590349,1936,0.9528,0.8666,1.0476,0.31790776541158183,,
heart_rate,abn_any,damage,Resting heart rate (bpm),Any of the three organs abnormal,binomial,per 1 SD,9.628731206590349,1936,1.0205,0.9131,1.1406,0.7203833751998515,0.9432147898976881,
heart_rate,abn_any,damage+hba1c,Resting heart rate (bpm),Any of the three organs abnormal,binomial,per 1 SD,9.628731206590349,1917,0.9824,0.877,1.1003,0.7583195779734104,,
heart_rate,abn_multi,unadjusted,Resting heart rate (bpm),Two or more organs abnormal,binomial,per 1 SD,9.628731206590349,1936,0.9783,0.8484,1.128,0.7624055259554794,,
heart_rate,abn_multi,damage,Resting heart rate (bpm),Two or more organs abnormal,binomial,per 1 SD,9.628731206590349,1936,1.0888,0.923,1.2843,0.31294018327726747,0.6258803665545349,
heart_rate,abn_multi,damage+hba1c,Resting heart rate (bpm),Two or more organs abnormal,binomial,per 1 SD,9.628731206590349,1917,1.0389,0.8782,1.2292,0.656047169782932,,
heart_rate,log_acr,unadjusted,Resting heart rate (bpm),log urine ACR (mg/g),gaussian,per 1 SD,9.628731206590349,1942,0.1409,0.0551,0.2267,0.0012934100091844475,,
heart_rate,log_acr,damage,Resting heart rate (bpm),log urine ACR (mg/g),gaussian,per 1 SD,9.628731206590349,1942,0.1577,0.0674,0.248,0.0006297721127896532,0.0151371708662072,
heart_rate,log_acr,damage+hba1c,Resting heart rate (bpm),log urine ACR (mg/g),gaussian,per 1 SD,9.628731206590349,1922,0.1241,0.0336,0.2146,0.007233351137980845,,
heart_rate,log_troponin,unadjusted,Resting heart rate (bpm),log hs-cTnT (ng/L),gaussian,per 1 SD,9.628731206590349,1950,-0.0218,-0.0462,0.0027,0.08088559546188027,,
heart_rate,log_troponin,damage,Resting heart rate (bpm),log hs-cTnT (ng/L),gaussian,per 1 SD,9.628731206590349,1950,0.0079,-0.0152,0.0311,0.5028823702773901,0.7736651850421387,
heart_rate,log_troponin,damage+hba1c,Resting heart rate (bpm),log hs-cTnT (ng/L),gaussian,per 1 SD,9.628731206590349,1930,0.0055,-0.0176,0.0286,0.6424402297980567,,
heart_rate,monofilament_missed,unadjusted,Resting heart rate (bpm),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,9.628731206590349,1981,-0.0426,-0.1281,0.0428,0.32791747200018573,,
heart_rate,monofilament_missed,damage,Resting heart rate (bpm),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,9.628731206590349,1981,0.0014,-0.0879,0.0907,0.9761882477411705,0.9956851491005055,
heart_rate,monofilament_missed,damage+hba1c,Resting heart rate (bpm),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,9.628731206590349,1924,-0.0202,-0.1113,0.0709,0.6633081522839427,,
stress,abn_kidney,unadjusted,Garmin stress score,Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,13.567662112817763,1942,1.2554,1.1078,1.4227,0.00036641425020454,,
stress,abn_kidney,damage,Garmin stress score,Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,13.567662112817763,1942,1.1723,1.0283,1.3365,0.017407553867618622,0.1113544877501593,
stress,abn_kidney,damage+hba1c,Garmin stress score,Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,13.567662112817763,1922,1.1129,0.9715,1.2748,0.12277681178758032,,
stress,abn_heart,unadjusted,Garmin stress score,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,13.567662112817763,1950,1.0345,0.925,1.1569,0.552187757818937,,
stress,abn_heart,damage,Garmin stress score,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,13.567662112817763,1950,0.9803,0.8653,1.1106,0.7544020651778715,0.9432147898976881,
stress,abn_heart,damage+hba1c,Garmin stress score,Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,13.567662112817763,1930,0.9623,0.8474,1.0928,0.5535501424800506,,
stress,abn_nerve,unadjusted,Garmin stress score,Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,13.567662112817763,1981,1.0246,0.9053,1.1596,0.7002584747437788,,
stress,abn_nerve,damage,Garmin stress score,Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,13.567662112817763,1981,1.0158,0.8914,1.1575,0.8143852321857096,0.9581002731596584,
stress,abn_nerve,damage+hba1c,Garmin stress score,Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,13.567662112817763,1924,0.9808,0.8562,1.1235,0.7795659418551038,,
stress,abn_any,unadjusted,Garmin stress score,Any of the three organs abnormal,binomial,per 1 SD,13.567662112817763,1936,1.043,0.9492,1.146,0.38171725006813106,,
stress,abn_any,damage,Garmin stress score,Any of the three organs abnormal,binomial,per 1 SD,13.567662112817763,1936,0.9949,0.8955,1.1055,0.9249034426300101,0.9956851491005055,
stress,abn_any,damage+hba1c,Garmin stress score,Any of the three organs abnormal,binomial,per 1 SD,13.567662112817763,1917,0.9589,0.8606,1.0685,0.4475020238934849,,
