exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
bmi_obese,abn_nerve,damage+hba1c,Obese (BMI >= 30),Nerve abnormal (>= 2 insensate sites),binomial,yes vs no,,2200,1.3917,1.0668,1.8155,0.014821266606197488,,
bmi_obese,abn_any,unadjusted,Obese (BMI >= 30),Any of the three organs abnormal,binomial,yes vs no,,2213,1.3133,1.0998,1.5681,0.002602493764649234,,
bmi_obese,abn_any,damage,Obese (BMI >= 30),Any of the three organs abnormal,binomial,yes vs no,,2213,1.4037,1.1438,1.7228,0.0011718900666300117,0.004687560266520047,
bmi_obese,abn_any,damage+hba1c,Obese (BMI >= 30),Any of the three organs abnormal,binomial,yes vs no,,2193,1.347,1.0939,1.6587,0.00502908130921686,,
bmi_obese,abn_multi,unadjusted,Obese (BMI >= 30),Two or more organs abnormal,binomial,yes vs no,,2213,1.2775,0.981,1.6635,0.06911214684657725,,
bmi_obese,abn_multi,damage,Obese (BMI >= 30),Two or more organs abnormal,binomial,yes vs no,,2213,1.3253,0.9789,1.7941,0.06842268585171501,0.09123024780228668,
bmi_obese,abn_multi,damage+hba1c,Obese (BMI >= 30),Two or more organs abnormal,binomial,yes vs no,,2193,1.2784,0.9384,1.7417,0.11944529844166418,,
bmi_obese,log_acr,unadjusted,Obese (BMI >= 30),log urine ACR (mg/g),gaussian,yes vs no,,2220,0.0917,-0.0705,0.254,0.2677054661409295,,
bmi_obese,log_acr,damage,Obese (BMI >= 30),log urine ACR (mg/g),gaussian,yes vs no,,2220,0.0344,-0.1331,0.2018,0.6875742107150455,0.7500721054076797,
bmi_obese,log_acr,damage+hba1c,Obese (BMI >= 30),log urine ACR (mg/g),gaussian,yes vs no,,2198,0.0002,-0.166,0.1664,0.9980549111630808,,
bmi_obese,log_troponin,unadjusted,Obese (BMI >= 30),log hs-cTnT (ng/L),gaussian,yes vs no,,2228,0.0479,0.0019,0.094,0.04135349915093707,,
bmi_obese,log_troponin,damage,Obese (BMI >= 30),log hs-cTnT (ng/L),gaussian,yes vs no,,2228,0.0608,0.018,0.1037,0.0054056377283071295,0.010811275456614259,
bmi_obese,log_troponin,damage+hba1c,Obese (BMI >= 30),log hs-cTnT (ng/L),gaussian,yes vs no,,2206,0.0563,0.014,0.0986,0.009111388888015142,,
bmi_obese,monofilament_missed,unadjusted,Obese (BMI >= 30),"Insensate sites, worse foot (0-10)",gaussian,yes vs no,,2265,0.1887,0.028,0.3493,0.021378425663969542,,
bmi_obese,monofilament_missed,damage,Obese (BMI >= 30),"Insensate sites, worse foot (0-10)",gaussian,yes vs no,,2265,0.206,0.0418,0.3702,0.013969397332089172,0.022351035731342676,
bmi_obese,monofilament_missed,damage+hba1c,Obese (BMI >= 30),"Insensate sites, worse foot (0-10)",gaussian,yes vs no,,2200,0.1893,0.0236,0.3549,0.0251264534762657,,
