rank,experiment,exposure,outcome,exposure_label,outcome_label,scale,family,n,estimate,ci_lo,ci_hi,p,q,effect_size_standardised,effect_margin_over_floor,crit_effect_size,crit_survives_adjustment,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
86,E2F.1,healthcare_access_barriers,unrec_either,Healthcare access barriers (0-3),Unrecognized — either organ,per 1 SD,binomial,528,0.8741,0.7197,1.0617,0.1748679717877974,0.5214456276583469,1.144,0.738,False,False,3,3,0,True,0.9289916657581885,0.0,True,mechanistic — tests why damage goes unrecognized,True,2
87,E2F.1,prescription_unaffordable,unrec_either,Prescription unaffordability (0-4),Unrecognized — either organ,per 1 SD,binomial,519,0.8766,0.7289,1.0542,0.1617483202415808,0.5214456276583469,1.141,0.722,False,False,3,3,1,True,0.20253687691391478,37.4,True,mechanistic — tests why damage goes unrecognized,True,2
88,E2A.2,undiagnosed_range_cgm,abn_any,undiagnosed_range_cgm,Any of the three organs abnormal,yes vs no,binomial,1292,1.3393,0.7096,2.528,0.3673629799234125,0.59168980712877,1.339,0.721,False,False,3,3,0,True,0.7388628247456148,0.0,True,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,2
89,E2D.1,steps,monofilament_missed,Daily steps,"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,1988,-0.1353,-0.2222,-0.0485,0.0022658129520886,0.0226581295208865,0.07,0.697,False,True,3,3,0,True,0.9606441978718131,0.0,True,exploratory — no committed hypothesis,False,2
90,E2E.2,qrsd_ms,log_acr,QRS duration (ms),log urine ACR (mg/g),per 1 SD,gaussian,2201,0.1162,0.0361,0.1964,0.0044707811623251,0.0094121708680528,0.06,0.605,False,True,3,3,1,True,0.4893501353999785,0.0,True,exploratory — no committed hypothesis,False,2
91,E2B.1,bmi,log_troponin,BMI (kg/m2),log hs-cTnT (ng/L),per 1 SD,gaussian,2228,0.0322,0.0107,0.0537,0.0033025697739112,0.0075487309117972,0.059,0.589,False,True,3,3,1,True,0.26478926732132385,24.7,True,exploratory — no committed hypothesis,False,2
92,E2B.1,bmi_obese,log_troponin,Obese (BMI >= 30),log hs-cTnT (ng/L),yes vs no,gaussian,2228,0.0608,0.018,0.1037,0.0054056377283071,0.0108112754566142,0.111,0.556,False,True,3,3,1,True,0.8938532691490724,0.0,True,exploratory — no committed hypothesis,False,2
93,E2B.1,bmi_obese,monofilament_missed,Obese (BMI >= 30),"Insensate sites, worse foot (0-10)",yes vs no,gaussian,2265,0.206,0.0418,0.3702,0.0139693973320891,0.0223510357313426,0.106,0.531,False,True,3,3,0,True,0.8782031360714032,0.0,True,exploratory — no committed hypothesis,False,2
94,E2A.1,mage,abn_heart,CGM MAGE (mg/dL),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2201,1.09,0.9591,1.2386,0.1867344641481151,0.2074827379423501,1.09,0.473,False,False,3,3,0,True,0.9089078267100297,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,2
95,E2C.1,cesd_positive,log_troponin,CES-D-10 screen-positive (>= 10),log hs-cTnT (ng/L),yes vs no,gaussian,2230,0.0329,-0.0185,0.0842,0.2100864968489618,0.6722767899166778,0.06,0.301,False,False,3,3,0,True,0.9144022091553143,0.0,True,pre-declared — H2 (Aim 2),True,2
96,E2A.1,glucose_cv,monofilament_missed,CGM coefficient of variation (%),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2238,0.0453,-0.0431,0.1337,0.3148350522098477,0.3314053181156292,0.023,0.233,False,False,3,3,0,True,0.7008187364458032,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,2
97,E2C.1,cesd_total,log_acr,CES-D-10 total (0-30),log urine ACR (mg/g),per 1 SD,gaussian,2222,0.0244,-0.0572,0.1059,0.558183415142487,0.8509307711957826,0.013,0.127,False,False,3,3,0,True,0.9788176719486749,0.0,True,pre-declared — H2 (Aim 2),True,2
98,E2C.1,cesd_positive,log_acr,CES-D-10 screen-positive (>= 10),log urine ACR (mg/g),yes vs no,gaussian,2222,0.043,-0.1575,0.2435,0.6743734814903426,0.8509307711957826,0.022,0.112,False,False,3,3,0,True,0.9702807765356745,0.0,True,pre-declared — H2 (Aim 2),True,2
99,E2F.1,housing_insecure,unrec_heart,Housing insecure (no steady place or at risk),Unrecognized — heart,yes vs no,binomial,374,0.6712,0.2237,2.0138,0.4769782392464702,0.8330194307690096,1.49,0.983,False,False,2,1,0,False,0.139908834127409,54.1,False,mechanistic — tests why damage goes unrecognized,True,1
100,E2D.1,stress,abn_kidney,Garmin stress score,Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,1942,1.1723,1.0283,1.3365,0.0174075538676186,0.1113544877501593,1.172,0.872,False,False,3,3,1,True,0.2293196033839635,32.1,True,exploratory — no committed hypothesis,False,1
101,E2B.1,bmi,abn_multi,BMI (kg/m2),Two or more organs abnormal,per 1 SD,binomial,2213,1.1703,1.0039,1.3642,0.044414371822016,0.0646027226502051,1.17,0.863,False,False,3,3,0,True,0.9832676725119464,0.0,True,exploratory — no committed hypothesis,False,1
102,E2A.2,undiagnosed_range_cgm,abn_nerve,undiagnosed_range_cgm,Nerve abnormal (>= 2 insensate sites),yes vs no,binomial,1310,1.4145,0.6367,3.1424,0.3944598714191799,0.59168980712877,1.415,0.855,False,False,3,2,0,False,0.23143598423795042,31.7,False,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,1
103,E2C.2,cesd_positive,unrec_kidney,CES-D-10 screen-positive (>= 10),Unrecognized — kidney,yes vs no,binomial,308,0.7141,0.3397,1.5011,0.374354254106499,0.4492251049277988,1.4,0.83,False,False,3,1,1,False,0.14083204442201874,49.0,False,pre-declared — H3,True,1
104,E2C.2,cesd_positive,unrec_either,CES-D-10 screen-positive (>= 10),Unrecognized on either organ,yes vs no,binomial,603,0.7158,0.4275,1.1984,0.2035178031920342,0.3052767047880514,1.397,0.825,False,False,3,2,0,False,0.34274410572132097,6.6,False,pre-declared — H3,True,1
105,E2E.2,rate_bpm,abn_nerve,ECG heart rate (bpm),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2243,1.1487,1.0121,1.3037,0.0318793348901987,0.0510069358243179,1.149,0.76,False,False,3,3,0,True,0.7043048300532857,0.0,True,exploratory — no committed hypothesis,False,1
106,E2C.3,paid_positive,abn_kidney,PAID-5 distress-positive (>= 8),Kidney abnormal (ACR >= 30 mg/g),yes vs no,binomial,2175,1.361,1.0097,1.8345,0.043070424063662,0.5006914614155888,1.361,0.76,False,False,3,3,0,True,0.869358074681053,0.0,True,exploratory — no committed hypothesis,False,1
107,E2D.1,stress,abn_multi,Garmin stress score,Two or more organs abnormal,per 1 SD,binomial,1936,1.1442,0.9862,1.3274,0.075581649313113,0.2617335475660794,1.144,0.739,False,False,3,3,0,True,0.8983886317144223,0.0,True,exploratory — no committed hypothesis,False,1
108,E2D.1,steps,abn_any,Daily steps,Any of the three organs abnormal,per 1 SD,binomial,1943,0.8755,0.783,0.9788,0.0194870353562778,0.1113544877501593,1.142,0.729,False,False,3,3,1,True,0.018061531053624246,75.1,True,exploratory — no committed hypothesis,False,1
109,E2B.1,bmi_obese,abn_multi,Obese (BMI >= 30),Two or more organs abnormal,yes vs no,binomial,2213,1.3253,0.9789,1.7941,0.068422685851715,0.0912302478022866,1.325,0.695,False,False,3,3,0,True,0.790264577191069,0.0,True,exploratory — no committed hypothesis,False,1
110,E2D.1,sleep_hours,abn_heart,Sleep (hours/night),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2016,0.8858,0.7845,1.0002,0.0503434186155642,0.2237485271802856,1.129,0.665,False,False,3,3,0,True,0.805160571473003,0.0,True,exploratory — no committed hypothesis,False,1
111,E2C.3,paid_total,abn_kidney,PAID-5 total (0-20),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2175,1.1256,0.9938,1.2749,0.0625864326769486,0.5006914614155888,1.126,0.649,False,False,3,3,0,True,0.9688724876273246,0.0,True,exploratory — no committed hypothesis,False,1
112,E2A.1,mage,abn_nerve,CGM MAGE (mg/dL),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2237,1.1244,0.9809,1.2888,0.0923921510495618,0.1055910297709278,1.124,0.643,False,False,3,2,0,False,0.5333898574986347,0.0,False,corroborative — measured glycaemia tracks damage beyond the label,True,1
113,E2E.2,pr_ms,abn_multi,PR interval (ms),Two or more organs abnormal,per 1 SD,binomial,2158,1.1236,0.9849,1.2819,0.0829555499958607,0.1070394193494976,1.124,0.639,False,False,3,3,0,True,0.9262918551817155,0.0,True,exploratory — no committed hypothesis,False,1
114,E2F.1,housing_insecure,unrec_either,Housing insecure (no steady place or at risk),Unrecognized — either organ,yes vs no,binomial,525,1.2834,0.4398,3.7451,0.6479040017092297,0.8330194307690096,1.283,0.615,False,False,2,1,0,False,0.7162401085321951,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
115,E2E.2,pr_ms,abn_kidney,PR interval (ms),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2166,0.8946,0.792,1.0104,0.0729196638681,0.0972262184908,1.118,0.611,False,False,3,3,0,True,0.49810147232233726,0.0,True,exploratory — no committed hypothesis,False,1
116,E2D.1,steps,abn_nerve,Daily steps,Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,1988,0.8971,0.7741,1.0397,0.1490299976312045,0.380095242552915,1.115,0.596,False,False,3,3,0,True,0.5428784969246243,0.0,True,exploratory — no committed hypothesis,False,1
117,E2D.1,sleep_hours,abn_nerve,Sleep (hours/night),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2046,1.1109,0.9789,1.2606,0.1033068211636191,0.3178671420419049,1.111,0.577,False,False,3,3,0,True,0.5298499843815252,0.0,True,exploratory — no committed hypothesis,False,1
118,E2E.2,qtc_ms,abn_nerve,QTc interval (ms),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2243,1.1104,0.991,1.2442,0.0712636505339849,0.0972262184908,1.11,0.574,False,False,3,3,0,True,0.6332027148907098,0.0,True,exploratory — no committed hypothesis,False,1
119,E2A.2,undiagnosed_range_cgm,abn_heart,undiagnosed_range_cgm,Heart abnormal (hs-cTnT >= 14 ng/L),yes vs no,binomial,1296,1.2623,0.5612,2.8393,0.5732356223268724,0.6614257180694681,1.262,0.574,False,False,3,1,0,False,0.2607946765792012,25.6,False,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,1
120,E2C.3,paid_positive,abn_multi,PAID-5 distress-positive (>= 8),Two or more organs abnormal,yes vs no,binomial,2168,1.2558,0.8753,1.8017,0.2162357135230954,0.6919542832739054,1.256,0.562,False,False,3,3,0,True,0.9041060439326848,0.0,True,exploratory — no committed hypothesis,False,1
121,E2F.1,healthcare_access_barriers,unrec_kidney,Healthcare access barriers (0-3),Unrecognized — kidney,per 1 SD,binomial,263,1.1037,0.8018,1.5192,0.5450707403020109,0.8330194307690096,1.104,0.541,False,False,3,2,0,False,0.7196294286485284,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
122,E2C.3,paid_total,abn_heart,PAID-5 total (0-20),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2182,0.9098,0.8005,1.0339,0.1473826490706719,0.6519301218992576,1.099,0.518,False,False,3,3,0,True,0.7239488218691666,0.0,True,exploratory — no committed hypothesis,False,1
123,E2F.1,clinician_discrimination,unrec_kidney,"Clinician discrimination, mean (1-5)",Unrecognized — kidney,per 1 SD,binomial,260,0.9102,0.631,1.313,0.6148558286403076,0.8330194307690096,1.099,0.516,False,False,3,1,0,False,0.9891383862112969,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
124,E2A.2,insulin_at_target,abn_kidney,insulin_at_target,Kidney abnormal (ACR >= 30 mg/g),yes vs no,binomial,245,0.821,0.4767,1.4139,0.4769105701131081,0.6098836627747465,1.218,0.486,False,False,3,3,0,True,0.9948492541231575,0.0,True,exploratory — no committed hypothesis,False,1
125,E2F.1,prescription_unaffordable,unrec_heart,Prescription unaffordability (0-4),Unrecognized — heart,per 1 SD,binomial,369,1.0919,0.8641,1.3799,0.4614560330907203,0.8330194307690096,1.092,0.482,False,False,3,2,0,False,0.15580896349659132,46.2,False,mechanistic — tests why damage goes unrecognized,True,1
126,E2D.1,heart_rate,abn_multi,Resting heart rate (bpm),Two or more organs abnormal,per 1 SD,binomial,1936,1.0888,0.923,1.2843,0.3129401832772674,0.6258803665545349,1.089,0.467,False,False,3,3,0,True,0.9281627165273428,0.0,True,exploratory — no committed hypothesis,False,1
127,E2E.2,qt_ms,log_acr,QT interval (ms),log urine ACR (mg/g),per 1 SD,gaussian,2201,-0.0854,-0.1668,-0.004,0.0397193877003731,0.0588435373338861,0.044,0.445,False,False,3,3,0,True,0.9951745453606203,0.0,True,exploratory — no committed hypothesis,False,1
128,E2E.2,pr_ms,monofilament_missed,PR interval (ms),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2205,0.0857,0.0081,0.1634,0.0305224804578496,0.0508708007630827,0.044,0.442,False,False,3,3,1,True,0.3020307752921864,16.5,True,exploratory — no committed hypothesis,False,1
129,E2E.2,qtc_ms,monofilament_missed,QTc interval (ms),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2243,0.084,0.0052,0.1629,0.0366872499091372,0.0564419229371342,0.043,0.433,False,False,3,3,0,True,0.8683265737282039,0.0,True,exploratory — no committed hypothesis,False,1
130,E2D.1,steps,log_troponin,Daily steps,log hs-cTnT (ng/L),per 1 SD,gaussian,1957,-0.0237,-0.0461,-0.0013,0.0380019500147366,0.1900097500736834,0.043,0.433,False,False,3,3,1,True,0.5844053737706119,0.0,True,exploratory — no committed hypothesis,False,1
131,E2A.1,glucose_cv,abn_nerve,CGM coefficient of variation (%),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2238,1.0756,0.9436,1.2259,0.2752205508829582,0.2975357306842792,1.076,0.4,False,False,3,2,0,False,0.5354165236770947,0.0,False,corroborative — measured glycaemia tracks damage beyond the label,True,1
132,E2C.2,cesd_total,unrec_kidney,CES-D-10 total (0-30),Unrecognized — kidney,per 1 SD,binomial,308,0.9299,0.6759,1.2792,0.655011706792876,0.655011706792876,1.075,0.399,False,False,3,1,0,False,0.06575269469754214,63.3,False,pre-declared — H3,True,1
133,E2E.2,rate_bpm,monofilament_missed,ECG heart rate (bpm),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2243,0.0766,-0.0058,0.159,0.0683479573007917,0.0972262184908,0.039,0.395,False,False,3,3,0,True,0.6871627910139587,0.0,True,exploratory — no committed hypothesis,False,1
134,E2D.1,sleep_hours,monofilament_missed,Sleep (hours/night),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2046,0.0735,-0.0084,0.1555,0.0785200642698238,0.2617335475660794,0.038,0.379,False,False,3,3,0,True,0.80051266440432,0.0,True,exploratory — no committed hypothesis,False,1
135,E2D.1,spo2,monofilament_missed,SpO2 (%),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,1624,-0.0714,-0.1692,0.0263,0.152038097021166,0.380095242552915,0.037,0.368,False,False,3,3,0,True,0.5936845274442025,0.0,True,exploratory — no committed hypothesis,False,1
136,E2A.1,glucose_cv,log_troponin,CGM coefficient of variation (%),log hs-cTnT (ng/L),per 1 SD,gaussian,2202,0.02,-0.0022,0.0423,0.0772782348897911,0.0909155704585778,0.037,0.366,False,False,3,2,1,False,0.16425808254034147,44.6,False,corroborative — measured glycaemia tracks damage beyond the label,True,1
137,E2D.1,heart_rate,abn_nerve,Resting heart rate (bpm),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,1981,1.0643,0.9251,1.2245,0.3834823333466894,0.6669257971246774,1.064,0.342,False,False,3,3,0,True,0.9647075670709511,0.0,True,exploratory — no committed hypothesis,False,1
138,E2F.1,food_insecurity,unrec_heart,"Food insecurity, USDA count (0-5)",Unrecognized — heart,per 1 SD,binomial,432,1.0597,0.837,1.3417,0.6297857332978305,0.8330194307690096,1.06,0.318,False,False,3,2,0,False,0.6205020399766763,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
139,E2C.1,cesd_total,abn_kidney,CES-D-10 total (0-30),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2222,0.9451,0.8284,1.0784,0.401667209735855,0.8509307711957826,1.058,0.31,False,False,3,2,0,False,0.6835459574241218,0.0,False,pre-declared — H2 (Aim 2),True,1
140,E2D.1,stress,log_troponin,Garmin stress score,log hs-cTnT (ng/L),per 1 SD,gaussian,1950,0.0168,-0.0053,0.0389,0.1370192179038097,0.380095242552915,0.031,0.307,False,False,3,3,0,True,0.8565473551218915,0.0,True,exploratory — no committed hypothesis,False,1
141,E2F.1,food_insecurity,unrec_kidney,"Food insecurity, USDA count (0-5)",Unrecognized — kidney,per 1 SD,binomial,308,1.0517,0.7769,1.4237,0.7442660758876002,0.8462507672096786,1.052,0.276,False,False,3,2,0,False,0.2789912348463877,21.7,False,mechanistic — tests why damage goes unrecognized,True,1
142,E2F.1,food_insecure,unrec_kidney,Food insecure (USDA >= 2),Unrecognized — kidney,yes vs no,binomial,308,0.8956,0.3828,2.0952,0.7992368356980298,0.8462507672096786,1.117,0.272,False,False,3,1,0,False,0.6040143884501914,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
143,E2A.1,glucose_cv,abn_heart,CGM coefficient of variation (%),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2202,1.0495,0.9272,1.188,0.4446124046067536,0.4446124046067536,1.05,0.265,False,False,3,2,0,False,0.5821270042896836,0.0,False,corroborative — measured glycaemia tracks damage beyond the label,True,1
144,E2E.2,pr_ms,log_acr,PR interval (ms),log urine ACR (mg/g),per 1 SD,gaussian,2166,-0.0499,-0.1313,0.0315,0.2291927538138741,0.2778093985622716,0.026,0.26,False,False,3,3,0,True,0.39799968658169954,0.0,True,exploratory — no committed hypothesis,False,1
145,E2C.1,cesd_total,abn_heart,CES-D-10 total (0-30),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2230,0.9562,0.8428,1.0848,0.4864262849073072,0.8509307711957826,1.046,0.246,False,False,3,2,0,False,0.7685237120318191,0.0,False,pre-declared — H2 (Aim 2),True,1
146,E2A.2,undiagnosed_range,abn_nerve,undiagnosed_range,Nerve abnormal (>= 2 insensate sites),yes vs no,binomial,1302,0.9061,0.3352,2.4496,0.8459729348504144,0.9063995730540154,1.104,0.243,False,False,3,2,0,False,0.33383830956343963,8.9,False,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,1
147,E2F.1,food_insecure,unrec_either,Food insecure (USDA >= 2),Unrecognized — either organ,yes vs no,binomial,600,0.9136,0.492,1.6964,0.7746844773400836,0.8462507672096786,1.095,0.223,False,False,3,2,0,False,0.646458987319349,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
148,E2C.1,cesd_positive,abn_kidney,CES-D-10 screen-positive (>= 10),Kidney abnormal (ACR >= 30 mg/g),yes vs no,binomial,2222,0.9193,0.6683,1.2644,0.6047911898912429,0.8509307711957826,1.088,0.208,False,False,3,2,0,False,0.26341205090325803,25.0,False,pre-declared — H2 (Aim 2),True,1
149,E2A.1,mage,monofilament_missed,CGM MAGE (mg/dL),"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,2237,0.0382,-0.0562,0.1327,0.4272061403276898,0.4381601439258357,0.02,0.197,False,False,3,2,0,False,0.45848230705069903,0.0,False,corroborative — measured glycaemia tracks damage beyond the label,True,1
150,E2D.1,stress,monofilament_missed,Garmin stress score,"Insensate sites, worse foot (0-10)",per 1 SD,gaussian,1981,0.0346,-0.0511,0.1204,0.4286667242927569,0.7042425804377598,0.018,0.178,False,False,3,3,0,True,0.9280529346786768,0.0,True,exploratory — no committed hypothesis,False,1
151,E2C.1,cesd_positive,abn_any,CES-D-10 screen-positive (>= 10),Any of the three organs abnormal,yes vs no,binomial,2213,1.0665,0.832,1.3671,0.6110661137560967,0.8509307711957826,1.067,0.159,False,False,3,2,0,False,0.08625090180038615,59.2,False,pre-declared — H2 (Aim 2),True,1
152,E2E.2,qt_ms,abn_heart,QT interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2208,1.0279,0.9158,1.1536,0.6404711156448972,0.7116345729387746,1.028,0.151,False,False,3,1,1,False,0.0026841016030551726,83.1,False,corroborative — independent instrument agrees with the heart marker,True,1
153,E2E.2,qt_ms,abn_nerve,QT interval (ms),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2243,0.9782,0.8647,1.1067,0.7265345697878483,0.7854427781490251,1.022,0.121,False,False,3,3,0,True,0.9858033116433911,0.0,True,exploratory — no committed hypothesis,False,1
154,E2C.1,cesd_positive,abn_multi,CES-D-10 screen-positive (>= 10),Two or more organs abnormal,yes vs no,binomial,2213,1.0497,0.7242,1.5217,0.7977475979960462,0.8509307711957826,1.05,0.12,False,False,3,1,0,False,0.8863208687830962,0.0,False,pre-declared — H2 (Aim 2),True,1
155,E2C.1,cesd_positive,abn_heart,CES-D-10 screen-positive (>= 10),Heart abnormal (hs-cTnT >= 14 ng/L),yes vs no,binomial,2230,0.9609,0.7095,1.3015,0.7968705694240164,0.8509307711957826,1.041,0.098,False,False,3,1,0,False,0.6550059561395796,0.0,False,pre-declared — H2 (Aim 2),True,1
156,E2C.1,cesd_total,abn_any,CES-D-10 total (0-30),Any of the three organs abnormal,per 1 SD,binomial,2213,1.0144,0.9166,1.1225,0.782662503821516,0.8509307711957826,1.014,0.078,False,False,3,1,0,False,0.12699408628396328,51.5,False,pre-declared — H2 (Aim 2),True,1
157,E2C.1,cesd_total,log_troponin,CES-D-10 total (0-30),log hs-cTnT (ng/L),per 1 SD,gaussian,2230,0.0034,-0.0176,0.0244,0.750187408602512,0.8509307711957826,0.006,0.062,False,False,3,2,0,False,0.7729668099994376,0.0,False,pre-declared — H2 (Aim 2),True,1
158,E2C.1,cesd_total,abn_multi,CES-D-10 total (0-30),Two or more organs abnormal,per 1 SD,binomial,2213,0.9902,0.8463,1.1586,0.9022276021797891,0.9022276021797891,1.01,0.054,False,False,3,1,0,False,0.862313933810185,0.0,False,pre-declared — H2 (Aim 2),True,1
159,E2F.1,food_insecurity,unrec_either,"Food insecurity, USDA count (0-5)",Unrecognized — either organ,per 1 SD,binomial,600,0.993,0.8028,1.2282,0.9483046315393509,0.9483046315393509,1.007,0.039,False,False,3,1,0,False,0.9875030378710021,0.0,False,mechanistic — tests why damage goes unrecognized,True,1
160,E2E.2,qt_ms,log_troponin,QT interval (ms),log hs-cTnT (ng/L),per 1 SD,gaussian,2208,0.0004,-0.0206,0.0214,0.9705488827681672,0.982512944060886,0.001,0.007,False,False,3,1,0,False,0.38403765686729224,0.0,False,corroborative — independent instrument agrees with the heart marker,True,1
161,E2A.2,insulin_at_target,abn_nerve,insulin_at_target,Nerve abnormal (>= 2 insensate sites),yes vs no,binomial,244,0.7412,0.4112,1.3363,0.3193304390921123,0.59168980712877,1.349,0.739,False,False,3,2,1,False,0.06262159682789496,63.9,False,exploratory — no committed hypothesis,False,0
162,E2D.1,heart_rate,abn_kidney,Resting heart rate (bpm),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,1942,1.1439,0.9903,1.3214,0.0676459918435337,0.2617335475660794,1.144,0.737,False,False,3,2,1,False,0.20356212897432216,37.2,False,exploratory — no committed hypothesis,False,0
163,E2A.2,insulin_at_target,abn_any,insulin_at_target,Any of the three organs abnormal,yes vs no,binomial,242,0.7678,0.4435,1.3293,0.3454263091233116,0.59168980712877,1.302,0.652,False,False,3,2,0,False,0.5976763654195698,0.0,False,exploratory — no committed hypothesis,False,0
164,E2D.1,spo2,abn_kidney,SpO2 (%),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,1595,0.9038,0.777,1.0513,0.1895700536539682,0.4460471850681606,1.106,0.555,False,False,3,2,0,False,0.16826558673315495,43.9,False,exploratory — no committed hypothesis,False,0
165,E2A.2,insulin_at_target,abn_multi,insulin_at_target,Two or more organs abnormal,yes vs no,binomial,242,0.8191,0.4662,1.4394,0.4879069302197971,0.6098836627747465,1.221,0.492,False,False,3,2,0,False,0.7079524493325748,0.0,False,exploratory — no committed hypothesis,False,0
166,E2D.1,spo2,abn_nerve,SpO2 (%),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,1624,0.9225,0.798,1.0664,0.2751840159885542,0.5793347705022195,1.084,0.442,False,False,3,2,0,False,0.49406403249661823,0.0,False,exploratory — no committed hypothesis,False,0
167,E2E.2,pr_ms,abn_any,PR interval (ms),Any of the three organs abnormal,per 1 SD,binomial,2158,1.0766,0.9763,1.1872,0.139317296295403,0.1741466203692537,1.077,0.405,False,False,3,2,0,False,0.4509619359304161,0.0,False,exploratory — no committed hypothesis,False,0
168,E2E.2,qt_ms,abn_kidney,QT interval (ms),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2201,0.9321,0.8207,1.0587,0.2792735598436444,0.328557129227817,1.073,0.386,False,False,3,1,1,False,0.12680399700236222,51.6,False,exploratory — no committed hypothesis,False,0
169,E2D.1,steps,abn_kidney,Daily steps,Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,1949,0.9347,0.8104,1.0781,0.353523047233153,0.6427691767875509,1.07,0.37,False,False,3,1,1,False,0.11871619188921344,53.1,False,exploratory — no committed hypothesis,False,0
170,E2D.1,spo2,abn_any,SpO2 (%),Any of the three organs abnormal,per 1 SD,binomial,1591,0.9445,0.8404,1.0615,0.3376575186819323,0.6427691767875509,1.059,0.313,False,False,3,2,0,False,0.236535580106068,30.6,False,exploratory — no committed hypothesis,False,0
171,E2C.3,paid_positive,abn_heart,PAID-5 distress-positive (>= 8),Heart abnormal (hs-cTnT >= 14 ng/L),yes vs no,binomial,2182,0.8852,0.6532,1.1995,0.4313406299452607,0.977752868359944,1.13,0.301,False,False,3,2,0,False,0.36751498354310286,0.1,False,exploratory — no committed hypothesis,False,0
172,E2D.1,spo2,log_acr,SpO2 (%),log urine ACR (mg/g),per 1 SD,gaussian,1595,-0.057,-0.1509,0.0369,0.2340770185742968,0.5201711523873264,0.03,0.297,False,False,3,2,1,False,0.026232115542581872,72.5,False,exploratory — no committed hypothesis,False,0
173,E2B.1,bmi,log_acr,BMI (kg/m2),log urine ACR (mg/g),per 1 SD,gaussian,2220,0.0566,-0.0275,0.1408,0.1867423239350195,0.2298367063815624,0.029,0.295,False,False,3,2,0,False,0.4373726153269789,0.0,False,exploratory — no committed hypothesis,False,0
174,E2C.3,paid_total,log_troponin,PAID-5 total (0-20),log hs-cTnT (ng/L),per 1 SD,gaussian,2182,-0.0151,-0.0363,0.0061,0.1629825304748144,0.6519301218992576,0.028,0.276,False,False,3,2,1,False,0.3084797118805743,15.0,False,exploratory — no committed hypothesis,False,0
175,E2D.1,sleep_hours,abn_kidney,Sleep (hours/night),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2008,1.0515,0.9257,1.1943,0.4401516127735998,0.7042425804377598,1.052,0.275,False,False,3,1,0,False,0.26319513876096406,25.1,False,exploratory — no committed hypothesis,False,0
176,E2C.3,paid_positive,log_troponin,PAID-5 distress-positive (>= 8),log hs-cTnT (ng/L),yes vs no,gaussian,2182,-0.0289,-0.0806,0.0228,0.2733408045451396,0.7289088121203723,0.053,0.264,False,False,3,2,1,False,0.26186392937009717,25.4,False,exploratory — no committed hypothesis,False,0
