rank,experiment,exposure,outcome,exposure_label,outcome_label,scale,family,n,estimate,ci_lo,ci_hi,p,q,effect_size_standardised,effect_margin_over_floor,crit_effect_size,crit_survives_adjustment,sites_fitted,sites_same_direction,sites_p_lt_05,consistent_across_sites,heterogeneity_q_p,i_squared_pct,crit_consistent_sites,coherence_tier,crit_coherent_with_core,criteria_met
19,E2A.1,mage,abn_multi,CGM MAGE (mg/dL),Two or more organs abnormal,per 1 SD,binomial,2187,1.3042,1.125,1.5119,0.0004290452425115,0.0009032531421296,1.304,1.457,True,True,3,3,2,True,0.9539455837720229,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
20,E2A.1,glucose_mean,log_acr,CGM mean glucose (mg/dL),log urine ACR (mg/g),per 1 SD,gaussian,2195,0.2782,0.1868,0.3697,2.775614909668543e-09,1.586065662667739e-08,0.145,1.448,True,True,3,3,3,True,0.04434065298316928,67.9,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
21,E2A.1,glucose_cv,abn_kidney,CGM coefficient of variation (%),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2195,1.2964,1.1442,1.4689,4.6198907692938635e-05,0.0001026642393176,1.296,1.424,True,True,3,3,2,True,0.46347393559227634,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
22,E2A.1,glucose_mean,log_troponin,CGM mean glucose (mg/dL),log hs-cTnT (ng/L),per 1 SD,gaussian,2202,0.0669,0.0438,0.09,1.5830126031371348e-08,7.035611569498376e-08,0.122,1.223,True,True,3,3,3,True,0.3136329044140787,13.8,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
23,E2A.1,tar_180,abn_nerve,CGM time above 180 mg/dL (%),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2238,1.2411,1.094,1.4079,0.0007897683924278,0.0015043207474815,1.241,1.185,True,True,3,3,1,True,0.03379303582242115,70.5,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
24,E2A.1,tar_180,log_troponin,CGM time above 180 mg/dL (%),log hs-cTnT (ng/L),per 1 SD,gaussian,2202,0.0646,0.0408,0.0884,1.1295698085611149e-07,3.765232695203717e-07,0.118,1.181,True,True,3,3,2,True,0.15205066257768196,46.9,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
25,E2A.1,mage,log_acr,CGM MAGE (mg/dL),log urine ACR (mg/g),per 1 SD,gaussian,2194,0.2198,0.126,0.3135,4.539958812571343e-06,1.1349897031428358e-05,0.114,1.144,True,True,3,3,2,True,0.16592363380203026,44.3,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
26,E2A.1,glucose_mean,abn_nerve,CGM mean glucose (mg/dL),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2238,1.2284,1.0873,1.3877,0.0009468633719546,0.0017215697671903,1.228,1.128,True,True,3,3,1,True,0.12095205852383627,52.7,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
27,E2A.1,mage,abn_any,CGM MAGE (mg/dL),Any of the three organs abnormal,per 1 SD,binomial,2187,1.2222,1.0921,1.3677,0.0004736589546458,0.0009473179092916,1.222,1.101,True,True,3,3,2,True,0.6555804231066316,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
28,E2A.1,glucose_cv,abn_multi,CGM coefficient of variation (%),Two or more organs abnormal,per 1 SD,binomial,2188,1.2189,1.0545,1.409,0.0074220111382499,0.0102372567424136,1.219,1.086,True,True,3,3,0,True,0.9990232908032876,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
29,E2A.1,glucose_mean,abn_heart,CGM mean glucose (mg/dL),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2202,1.2187,1.0822,1.3724,0.0011004319097667,0.0019137946256812,1.219,1.085,True,True,3,3,2,True,0.9565975033505109,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
30,E2C.1,cesd_total,abn_nerve,CES-D-10 total (0-30),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2265,1.2175,1.0768,1.3766,0.0016795136669682,0.0268722186714913,1.218,1.079,True,True,3,3,1,True,0.424310740881085,0.0,True,pre-declared — H2 (Aim 2),True,4
31,E2A.1,hba1c,abn_heart,HbA1c (%),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2211,1.207,1.0713,1.36,0.0019967844115729,0.0030719760178045,1.207,1.032,True,True,3,3,1,True,0.9386580272216147,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,4
32,E2E.2,qtc_ms,abn_heart,QTc interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2208,1.2042,1.08,1.3428,0.0008238355432502,0.0023538158378578,1.204,1.019,True,True,3,3,1,True,0.47448027808347315,0.0,True,corroborative — independent instrument agrees with the heart marker,True,4
33,E2E.2,qrsd_ms,abn_any,QRS duration (ms),Any of the three organs abnormal,per 1 SD,binomial,2193,1.4621,1.3199,1.6196,3.376990907583453e-13,6.753981815166905e-12,1.462,2.084,True,True,3,3,3,True,0.7071844353456439,0.0,True,exploratory — no committed hypothesis,False,3
34,E2F.1,clinician_discrimination,unrec_either,"Clinician discrimination, mean (1-5)",Unrecognized — either organ,per 1 SD,binomial,525,0.7286,0.5715,0.929,0.01063464015292,0.0957117613762801,1.372,1.737,True,False,3,3,1,True,0.5252718900369882,0.0,True,mechanistic — tests why damage goes unrecognized,True,3
35,E2D.1,steps,abn_multi,Daily steps,Two or more organs abnormal,per 1 SD,binomial,1943,0.7513,0.6214,0.9083,0.0031402665914775,0.0251221327318201,1.331,1.568,True,True,3,3,0,True,0.7819724408582822,0.0,True,exploratory — no committed hypothesis,False,3
36,E2C.2,cesd_total,unrec_heart,CES-D-10 total (0-30),Unrecognized — heart,per 1 SD,binomial,436,0.7608,0.6017,0.9621,0.0224544503142495,0.1347267018854974,1.314,1.499,True,False,3,3,1,True,0.33882114413262304,7.6,True,pre-declared — H3,True,3
37,E2E.2,rate_bpm,abn_multi,ECG heart rate (bpm),Two or more organs abnormal,per 1 SD,binomial,2193,1.3024,1.1265,1.5058,0.000359014175795,0.0011967139193167,1.302,1.449,True,True,3,3,2,True,0.5915776413386397,0.0,True,exploratory — no committed hypothesis,False,3
38,E2F.1,prescription_unaffordable,unrec_kidney,Prescription unaffordability (0-4),Unrecognized — kidney,per 1 SD,binomial,257,0.7678,0.5905,0.9983,0.0484924676675614,0.2840009904564687,1.302,1.449,True,False,3,3,0,True,0.6348658525147284,0.0,True,mechanistic — tests why damage goes unrecognized,True,3
39,E2B.1,bmi,abn_nerve,BMI (kg/m2),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2265,1.2742,1.1224,1.4466,0.0001807689929393,0.0009641012956764,1.274,1.329,True,True,3,3,2,True,0.5551819456784431,0.0,True,exploratory — no committed hypothesis,False,3
40,E2D.1,steps,abn_heart,Daily steps,Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,1957,0.786,0.6799,0.9087,0.0011352878149655,0.0151371708662072,1.272,1.321,True,True,3,3,1,True,0.19879745284809575,38.1,True,exploratory — no committed hypothesis,False,3
41,E2A.2,undiagnosed_range,abn_multi,undiagnosed_range,Two or more organs abnormal,yes vs no,binomial,1301,1.6946,0.5885,4.8801,0.3283767007277807,0.59168980712877,1.695,1.301,True,False,3,3,0,True,0.855269115862973,0.0,True,core-adjacent — unrecognized diabetes beneath unrecognized damage,True,3
42,E2B.1,bmi,abn_any,BMI (kg/m2),Any of the three organs abnormal,per 1 SD,binomial,2213,1.263,1.1388,1.4007,9.876758810099751e-06,0.0001580281409615,1.263,1.281,True,True,3,3,3,True,0.5414388609951171,0.0,True,exploratory — no committed hypothesis,False,3
43,E2E.2,qrsd_ms,abn_multi,QRS duration (ms),Two or more organs abnormal,per 1 SD,binomial,2193,1.257,1.1173,1.4141,0.0001419020884299,0.0005676083537196,1.257,1.255,True,True,3,3,1,True,0.21604327191821493,34.7,True,exploratory — no committed hypothesis,False,3
44,E2E.2,qrsd_ms,abn_nerve,QRS duration (ms),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2243,1.2519,1.1272,1.3904,2.719067939882222e-05,0.0001368387863053,1.252,1.232,True,True,3,3,2,True,0.6966455103016114,0.0,True,exploratory — no committed hypothesis,False,3
45,E2E.2,rate_bpm,abn_kidney,ECG heart rate (bpm),Kidney abnormal (ACR >= 30 mg/g),per 1 SD,binomial,2201,1.2498,1.1016,1.4179,0.0005350821542088,0.0016464066283349,1.25,1.223,True,True,3,3,1,True,0.7466405061137954,0.0,True,exploratory — no committed hypothesis,False,3
46,E2E.2,rate_bpm,log_acr,ECG heart rate (bpm),log urine ACR (mg/g),per 1 SD,gaussian,2201,0.2264,0.1438,0.309,8.562649004721938e-08,8.562649004721937e-07,0.118,1.178,True,True,3,3,3,True,0.45851689138427576,0.0,True,exploratory — no committed hypothesis,False,3
47,E2B.1,bmi,abn_heart,BMI (kg/m2),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2228,1.206,1.0657,1.3647,0.002990058183762,0.0075487309117972,1.206,1.027,True,True,3,3,1,True,0.3750128327822935,0.0,True,exploratory — no committed hypothesis,False,3
48,E2E.2,rate_bpm,abn_heart,ECG heart rate (bpm),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2208,1.2058,1.0698,1.3591,0.0021827202980446,0.0051358124659873,1.206,1.026,True,True,3,2,2,False,0.022399781441028114,73.7,False,corroborative — independent instrument agrees with the heart marker,True,3
49,E2E.2,qtc_ms,abn_multi,QTc interval (ms),Two or more organs abnormal,per 1 SD,binomial,2193,1.2029,1.06,1.365,0.0041939284788883,0.0093198410641963,1.203,1.013,True,True,3,3,1,True,0.036835406267974984,69.7,True,exploratory — no committed hypothesis,False,3
50,E2F.1,food_insecure,unrec_heart,Food insecure (USDA >= 2),Unrecognized — heart,yes vs no,binomial,432,1.5043,0.7401,3.0577,0.2592105057831484,0.5832236380120839,1.504,1.007,True,False,3,3,0,True,0.7586037389614293,0.0,True,mechanistic — tests why damage goes unrecognized,True,3
51,E2A.1,hba1c,log_troponin,HbA1c (%),log hs-cTnT (ng/L),per 1 SD,gaussian,2211,0.0541,0.0305,0.0776,6.864824430157722e-06,1.6152528070959346e-05,0.099,0.989,False,True,3,3,2,True,0.1314485330051901,50.7,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
52,E2A.1,tar_180,abn_heart,CGM time above 180 mg/dL (%),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2202,1.1954,1.0596,1.3486,0.0037253582121615,0.0055190492032022,1.195,0.979,False,True,3,3,1,True,0.9286832639453183,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
53,E2C.1,cesd_positive,abn_nerve,CES-D-10 screen-positive (>= 10),Nerve abnormal (>= 2 insensate sites),yes vs no,binomial,2265,1.4795,1.0947,1.9996,0.0108095819256524,0.0438759945183517,1.48,0.966,False,True,3,3,1,True,0.4208623422995673,0.0,True,pre-declared — H2 (Aim 2),True,3
54,E2A.1,hba1c,abn_nerve,HbA1c (%),Nerve abnormal (>= 2 insensate sites),per 1 SD,binomial,2203,1.1831,1.0414,1.3442,0.0098059903285292,0.0130746537713723,1.183,0.922,False,True,3,3,1,True,0.2653292609969377,24.6,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
55,E2E.2,rate_bpm,log_troponin,ECG heart rate (bpm),log hs-cTnT (ng/L),per 1 SD,gaussian,2208,0.0464,0.025,0.0678,2.172272815694781e-05,0.0001368387863053,0.085,0.848,False,True,3,3,2,True,0.22702620966738182,32.6,True,corroborative — independent instrument agrees with the heart marker,True,3
56,E2E.2,qtc_ms,log_troponin,QTc interval (ms),log hs-cTnT (ng/L),per 1 SD,gaussian,2208,0.0438,0.0234,0.0642,2.7367757261062908e-05,0.0001368387863053,0.08,0.801,False,True,3,3,3,True,0.8684011905044485,0.0,True,corroborative — independent instrument agrees with the heart marker,True,3
57,E2E.2,pr_ms,abn_heart,PR interval (ms),Heart abnormal (hs-cTnT >= 14 ng/L),per 1 SD,binomial,2171,1.1554,1.0328,1.2924,0.0115689223305026,0.0220360425342908,1.155,0.792,False,True,3,3,1,True,0.3791872284058171,0.0,True,corroborative — independent instrument agrees with the heart marker,True,3
58,E2A.1,glucose_cv,abn_any,CGM coefficient of variation (%),Any of the three organs abnormal,per 1 SD,binomial,2188,1.1473,1.0321,1.2754,0.0108986027233796,0.0140627131914576,1.147,0.754,False,True,3,3,1,True,0.5716516044908715,0.0,True,corroborative — measured glycaemia tracks damage beyond the label,True,3
