exposure,outcome,adjustment,exposure_label,outcome_label,family,scale,sd_unit,n,estimate,ci_lo,ci_hi,p,q,note
cesd_total,abn_kidney,unadjusted,CES-D-10 total (0-30),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,5.091068389733732,2222,0.9508,0.8405,1.0755,0.42195834742522387,,
cesd_total,abn_kidney,damage,CES-D-10 total (0-30),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,5.091068389733732,2222,0.9451,0.8284,1.0784,0.401667209735855,0.8509307711957826,
cesd_total,abn_kidney,damage+hba1c,CES-D-10 total (0-30),Kidney abnormal (ACR >= 30 mg/g),binomial,per 1 SD,5.091068389733732,2200,0.9171,0.8004,1.0508,0.21258347499095398,,
cesd_total,abn_heart,unadjusted,CES-D-10 total (0-30),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,5.091068389733732,2230,0.8965,0.8028,1.0012,0.052434300232433624,,
cesd_total,abn_heart,damage,CES-D-10 total (0-30),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,5.091068389733732,2230,0.9562,0.8428,1.0848,0.4864262849073072,0.8509307711957826,
cesd_total,abn_heart,damage+hba1c,CES-D-10 total (0-30),Heart abnormal (hs-cTnT >= 14 ng/L),binomial,per 1 SD,5.091068389733732,2208,0.9399,0.8263,1.069,0.3451585380809652,,
cesd_total,abn_nerve,unadjusted,CES-D-10 total (0-30),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,5.091068389733732,2265,1.0783,0.9632,1.207,0.19042590909786938,,
cesd_total,abn_nerve,damage,CES-D-10 total (0-30),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,5.091068389733732,2265,1.2175,1.0768,1.3766,0.0016795136669682106,0.02687221867149137,
cesd_total,abn_nerve,damage+hba1c,CES-D-10 total (0-30),Nerve abnormal (>= 2 insensate sites),binomial,per 1 SD,5.091068389733732,2200,1.1852,1.0419,1.3481,0.009740433340012289,,
cesd_total,abn_any,unadjusted,CES-D-10 total (0-30),Any of the three organs abnormal,binomial,per 1 SD,5.091068389733732,2213,0.951,0.8693,1.0404,0.27329831243104297,,
cesd_total,abn_any,damage,CES-D-10 total (0-30),Any of the three organs abnormal,binomial,per 1 SD,5.091068389733732,2213,1.0144,0.9166,1.1225,0.782662503821516,0.8509307711957826,
cesd_total,abn_any,damage+hba1c,CES-D-10 total (0-30),Any of the three organs abnormal,binomial,per 1 SD,5.091068389733732,2193,1.0105,0.9116,1.12,0.84285025003317,,
cesd_total,abn_multi,unadjusted,CES-D-10 total (0-30),Two or more organs abnormal,binomial,per 1 SD,5.091068389733732,2213,0.911,0.7923,1.0475,0.19082208117976984,,
cesd_total,abn_multi,damage,CES-D-10 total (0-30),Two or more organs abnormal,binomial,per 1 SD,5.091068389733732,2213,0.9902,0.8463,1.1586,0.9022276021797893,0.9022276021797893,
cesd_total,abn_multi,damage+hba1c,CES-D-10 total (0-30),Two or more organs abnormal,binomial,per 1 SD,5.091068389733732,2193,0.9707,0.8266,1.14,0.7171632447233389,,
cesd_total,log_acr,unadjusted,CES-D-10 total (0-30),log urine ACR (mg/g),gaussian,per 1 SD,5.091068389733732,2222,0.0187,-0.0622,0.0996,0.6502458767783861,,
cesd_total,log_acr,damage,CES-D-10 total (0-30),log urine ACR (mg/g),gaussian,per 1 SD,5.091068389733732,2222,0.0244,-0.0572,0.1059,0.558183415142487,0.8509307711957826,
cesd_total,log_acr,damage+hba1c,CES-D-10 total (0-30),log urine ACR (mg/g),gaussian,per 1 SD,5.091068389733732,2200,0.0114,-0.0699,0.0927,0.783303398861571,,
cesd_total,log_troponin,unadjusted,CES-D-10 total (0-30),log hs-cTnT (ng/L),gaussian,per 1 SD,5.091068389733732,2230,-0.0211,-0.0441,0.0019,0.07253937942150157,,
cesd_total,log_troponin,damage,CES-D-10 total (0-30),log hs-cTnT (ng/L),gaussian,per 1 SD,5.091068389733732,2230,0.0034,-0.0176,0.0244,0.750187408602512,0.8509307711957826,
cesd_total,log_troponin,damage+hba1c,CES-D-10 total (0-30),log hs-cTnT (ng/L),gaussian,per 1 SD,5.091068389733732,2208,-0.0015,-0.0222,0.0193,0.8897088751324251,,
cesd_total,monofilament_missed,unadjusted,CES-D-10 total (0-30),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,5.091068389733732,2265,0.0564,-0.0237,0.1364,0.1672485718203456,,
cesd_total,monofilament_missed,damage,CES-D-10 total (0-30),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,5.091068389733732,2265,0.1133,0.0332,0.1934,0.005591818612492045,0.04387599451835172,
cesd_total,monofilament_missed,damage+hba1c,CES-D-10 total (0-30),"Insensate sites, worse foot (0-10)",gaussian,per 1 SD,5.091068389733732,2200,0.0848,0.0031,0.1664,0.04203187177456972,,
cesd_positive,abn_kidney,unadjusted,CES-D-10 screen-positive (>= 10),Kidney abnormal (ACR >= 30 mg/g),binomial,yes vs no,,2222,0.9525,0.7036,1.2895,0.7529622640738804,,
cesd_positive,abn_kidney,damage,CES-D-10 screen-positive (>= 10),Kidney abnormal (ACR >= 30 mg/g),binomial,yes vs no,,2222,0.9193,0.6683,1.2644,0.6047911898912429,0.8509307711957826,
