organ,n_evaluable,abnormal_and_not_reported,abnormal_and_reported,normal_and_reported,normal_and_not_reported,refused_the_item,pct_of_cohort_unrecognized
kidney,2215,226,89,149,1751,10,10.2
heart,2233,298,149,226,1560,0,13.3
